Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560636000.0 10.0 NA 156 176 0 NA NA 216 225 0 NA NA 2188 3240 974 NA NA 2311 3309 1023 NA
1560636000.0 1000.0 NA 172 87 0 34 NA 239 133 0 64 NA 2164 367 349 108 NA 2319 476 399 163
1560636000.0 108.0 50 150 173 NA NA 87 202 221 NA NA 1999 463 520 NA NA 2046 557 593 NA NA
1560636000.0 109.0 52 151 172 NA NA 88 204 222 NA NA 2380 484 571 NA NA 2429 576 639 NA NA
1560636000.0 11.0 NA 149 176 0 48 NA 209 228 0 74 NA 1200 1570 861 50 NA 1327 1651 899 118
1560636000.0 1102.0 NA 156 174 107 60 NA 215 226 153 96 NA 2769 4029 2331 203 NA 2901 4252 2447 227
1560636000.0 113.0 52 148 172 NA NA 90 204 221 NA NA 2387 445 523 NA NA 2436 538 622 NA NA
1560636000.0 114.0 52 150 169 NA NA 90 204 221 NA NA 2352 445 554 NA NA 2415 538 616 NA NA
1560636000.0 115.0 52 150 171 NA NA 90 205 223 NA NA 2480 454 558 NA NA 2533 539 629 NA NA
1560636000.0 116.0 52 152 169 NA NA 90 204 222 NA NA 2550 454 557 NA NA 2600 548 648 NA NA
1560636000.0 117.0 53 157 171 NA NA 90 205 224 NA NA 3201 484 600 NA NA 3496 677 737 NA NA
1560636000.0 118.0 53 157 172 NA NA 91 206 223 NA NA 3058 503 618 NA NA 3345 614 726 NA NA
1560636000.0 12.0 NA 156 174 0 NA NA 215 224 0 NA NA 2148 3321 987 NA NA 2228 3402 1029 NA
1560636000.0 121.0 53 157 172 NA NA 91 205 224 NA NA 3155 507 629 NA NA 3441 646 723 NA NA
1560636000.0 13.0 NA 162 175 0 NA NA 218 227 0 NA NA 3459 5205 959 NA NA 3598 5291 993 NA
1560636000.0 1302.0 61 146 123 NA NA 99 190 178 NA NA 3941 477 536 NA NA 4863 692 684 NA NA
1560636000.0 1303.0 65 151 129 NA NA 102 193 177 NA NA 13507 752 976 NA NA 15201 921 1097 NA NA
