Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560636000.0 101.0 82 NA NA NA NA 150 NA NA NA NA 982 NA NA NA NA 2201 NA NA NA NA
1560636000.0 1010.0 NA 28 71 0 NA NA 73 121 0 NA NA 123 207 107 NA NA 268 413 294 NA
1560636000.0 102.0 85 NA NA NA NA 151 NA NA NA NA 810 NA NA NA NA 1523 NA NA NA NA
1560636000.0 1020.0 NA 40 NA NA NA NA 110 NA NA NA NA 278 NA NA NA NA 1116 NA NA NA
1560636000.0 103.0 43 0 0 NA NA 91 0 0 NA NA 945 319 1573 NA NA 1236 781 2169 NA NA
1560636000.0 1030.0 NA 175 36 0 NA NA 312 84 0 NA NA 9210 310 91 NA NA 5116 825 398 NA
1560636000.0 105.0 99 88 27 NA NA 186 360 66 NA NA 1663 577 139 NA NA 1752 674 424 NA NA
1560636000.0 106.0 43 0 0 NA NA 91 0 0 NA NA 904 280 1578 NA NA 1236 761 2474 NA NA
1560636000.0 108.0 95 89 440 NA NA 194 360 547 NA NA 4961 622 2042 NA NA 3422 867 2457 NA NA
1560636000.0 110.0 59 80 357 NA NA 127 367 532 NA NA 1246 556 2255 NA NA 1691 889 3674 NA NA
1560636000.0 112.0 90 85 430 NA NA 191 360 547 NA NA 3361 586 1904 NA NA 2392 833 2584 NA NA
1560636000.0 114.0 87 84 437 NA NA 186 360 538 NA NA 3224 584 1914 NA NA 2784 799 2669 NA NA
1560636000.0 126.0 60 78 423 NA NA 142 367 540 NA NA 2216 536 1831 NA NA 3021 837 2869 NA NA
1560636000.0 127.0 58 80 424 NA NA 126 360 531 NA NA 1927 553 1824 NA NA 2411 1794 2372 NA NA
1560636000.0 1301.0 83 93 214 NA NA 152 377 339 NA NA 1845 645 1352 NA NA 2121 857 2159 NA NA
1560636000.0 1302.0 94 107 227 NA NA 167 373 353 NA NA 4442 758 1505 NA NA 2835 939 2178 NA NA
1560636000.0 1303.0 84 101 232 NA NA 158 377 330 NA NA 7205 636 1592 NA NA 5347 1732 2444 NA NA
1560636000.0 1307.0 NA 105 184 50 0 NA 376 258 87 0 NA 605 668 154 263 NA 1322 2317 695 596
1560636000.0 1308.0 NA 97 178 50 0 NA 383 256 86 0 NA 610 628 153 250 NA 2356 1152 953 378
1560636000.0 131.0 61 80 426 NA NA 142 360 543 NA NA 1751 556 2081 NA NA 2159 882 3695 NA NA
1560636000.0 1310.0 NA 104 561 0 NA NA 384 686 0 NA NA 672 2134 768 NA NA 1940 3333 1080 NA
1560636000.0 1311.0 NA 95 481 0 64 NA 377 593 0 105 NA 585 1428 746 256 NA 1426 1860 1064 519
1560636000.0 1315.0 NA 95 555 0 NA NA 376 677 0 NA NA 630 2054 715 NA NA 2252 5337 971 NA
1560636000.0 1320.0 NA 94 444 0 NA NA 384 660 0 NA NA 600 2569 716 NA NA 1158 4528 855 NA
1560636000.0 1325.5 NA 192 0 NA NA NA 335 0 NA NA NA 4927 217 NA NA NA 9725 1068 NA NA
1560636000.0 1325.8 NA 163 0 NA NA NA 244 0 NA NA NA 2968 158 NA NA NA 7413 477 NA NA
1560636000.0 1327.0 NA 103 492 0 NA NA 384 674 0 NA NA 722 2636 731 NA NA 3117 4539 935 NA
1560636000.0 1336.0 NA 106 568 0 NA NA 377 677 0 NA NA 703 2557 724 NA NA 1234 3042 851 NA
1560636000.0 1337.0 NA 107 583 0 NA NA 384 692 0 NA NA 745 2552 743 NA NA 1563 3164 936 NA
1560636000.0 1339.0 NA 109 539 0 NA NA 384 699 0 NA NA 748 2873 749 NA NA 2459 4762 1087 NA
1560636000.0 1348.0 NA 99 553 0 NA NA 384 679 0 NA NA 632 2008 717 NA NA 1547 2607 940 NA
1560636000.0 135.6 327 0 137 NA NA 511 0 213 NA NA 1395 278 727 NA NA 3936 692 1405 NA NA
1560636000.0 135.8 144 NA NA NA NA 234 NA NA NA NA 496 NA NA NA NA 1615 NA NA NA NA
1560636000.0 1350.0 NA 101 558 0 NA NA 384 682 0 NA NA 626 2055 726 NA NA 1151 2592 918 NA
1560636000.0 136.749 NA 72 541 0 NA NA 137 670 0 NA NA 1104 13569 941 NA NA 1955 6287 1305 NA
1560636000.0 136.753 NA 72 541 0 NA NA 136 666 0 NA NA 1341 13416 916 NA NA 1742 10725 1268 NA
1560636000.0 136.7611 NA 197 0 NA NA NA 286 0 NA NA NA 5653 194 NA NA NA 10829 687 NA NA
1560636000.0 136.766 NA 72 577 0 NA NA 138 772 0 NA NA 1410 17801 921 NA NA 1808 10005 1102 NA
1560636000.0 136.768 NA 71 549 0 NA NA 135 687 0 NA NA 1628 16891 925 NA NA 1910 10388 1056 NA
1560636000.0 136.7721 NA 196 0 NA NA NA 284 0 NA NA NA 5240 181 NA NA NA 7746 930 NA NA
1560636000.0 136.776 NA 73 538 0 NA NA 133 650 0 NA NA 858 11220 1010 NA NA 1830 8349 1309 NA
1560636000.0 136.7801 NA 105 0 NA NA NA 165 0 NA NA NA 435 209 NA NA NA 921 440 NA NA
1560636000.0 145.0 71 89 292 0 NA 121 362 387 0 NA 3105 490 1017 296 NA 4731 821 1800 499 NA
1560636000.0 149.0 57 99 593 0 NA 112 371 758 0 NA 1272 479 2144 1193 NA 2731 1035 2987 1521 NA
1560636000.0 2.0 89 87 205 NA NA 189 368 304 NA NA 3770 699 1263 NA NA 3696 862 1958 NA NA
1560636000.0 2017.8 185 NA NA NA NA 274 NA NA NA NA 523 NA NA NA NA 868 NA NA NA NA
1560636000.0 203.0 NA 153 516 0 NA NA 378 635 0 NA NA 1044 2599 578 NA NA 1692 2962 801 NA
1560636000.0 250200.1 85 244 250 NA NA 161 459 374 NA NA 3160 1859 2052 NA NA 2923 1570 2444 NA NA
1560636000.0 250402.17 414 0 138 NA NA 570 0 223 NA NA 1774 372 1052 NA NA 2425 809 2579 NA NA
1560636000.0 25407.17 500 0 144 NA NA 679 0 220 NA NA 6655 334 788 NA NA 4118 485 1298 NA NA
1560636000.0 3.0 83 85 205 NA NA 176 360 304 NA NA 7244 530 1449 NA NA 4972 882 3094 NA NA
1560636000.0 4.4 NA 29 424 0 NA NA 83 520 0 NA NA 312 4388 682 NA NA 729 3286 887 NA
1560636000.0 4.77 NA 60 449 0 NA NA 107 555 0 NA NA 462 8835 696 NA NA 1288 4412 962 NA
1560636000.0 4007.0 56 95 442 NA NA 118 383 569 NA NA 1859 551 1882 NA NA 2993 1675 4955 NA NA
1560636000.0 4008.0 43 0 0 NA NA 91 0 0 NA NA 1232 276 1566 NA NA 1855 780 2708 NA NA
1560636000.0 503.0 42 0 NA NA NA 79 0 NA NA NA 207 139 NA NA NA 713 901 NA NA NA
1560636000.0 504.0 43 0 NA NA NA 80 0 NA NA NA 205 128 NA NA NA 858 366 NA NA NA
1560636000.0 505.0 36 0 NA NA NA 80 0 NA NA NA 211 133 NA NA NA 287 350 NA NA NA
1560636000.0 506.0 39 0 NA NA NA 80 0 NA NA NA 201 131 NA NA NA 758 592 NA NA NA
1560636000.0 507.0 41 0 NA NA NA 78 0 NA NA NA 225 135 NA NA NA 1565 360 NA NA NA
1560636000.0 508.0 38 0 NA NA NA 79 0 NA NA NA 175 128 NA NA NA 774 335 NA NA NA
1560636000.0 509.0 40 0 NA NA NA 78 0 NA NA NA 157 137 NA NA NA 262 1034 NA NA NA
1560636000.0 510.0 42 0 NA NA NA 79 0 NA NA NA 264 129 NA NA NA 541 343 NA NA NA
1560636000.0 514.0 16 40 0 NA NA 56 85 0 NA NA 644 260 220 NA NA 2101 1156 1034 NA NA
1560636000.0 517.0 16 41 0 NA NA 56 85 0 NA NA 1430 232 221 NA NA 3389 735 1023 NA NA
1560636000.0 520.0 16 41 0 NA NA 56 86 0 NA NA 1769 243 180 NA NA 4762 838 939 NA NA
1560636000.0 523.0 16 45 0 NA NA 57 97 0 NA NA 1285 226 132 NA NA 1516 495 351 NA NA
1560636000.0 524.0 16 44 0 NA NA 56 86 0 NA NA 1650 274 159 NA NA 3886 1185 453 NA NA
1560636000.0 527.0 16 40 0 NA NA 56 86 0 NA NA 1900 234 219 NA NA 7158 772 1024 NA NA
1560636000.0 530.0 16 41 0 NA NA 57 86 0 NA NA 2378 214 132 NA NA 4258 1081 326 NA NA
1560636000.0 531.0 69 0 NA NA NA 188 0 NA NA NA 208 132 NA NA NA 283 886 NA NA NA
