Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560636000.0 1020.0 NA 37 NA NA NA NA 108 NA NA NA NA 282 NA NA NA NA 1013 NA NA NA
1560636000.0 110.0 60 81 433 NA NA 127 360 538 NA NA 1074 558 1842 NA NA 1275 1219 2204 NA NA
1560636000.0 1325.5 NA 192 0 NA NA NA 300 0 NA NA NA 5012 181 NA NA NA 7266 596 NA NA
1560636000.0 135.5 326 0 140 NA NA 511 0 213 NA NA 1259 315 713 NA NA 1700 775 860 NA NA
1560636000.0 135.8 143 NA NA NA NA 234 NA NA NA NA 515 NA NA NA NA 2273 NA NA NA NA
1560636000.0 136.7721 NA 193 0 NA NA NA 282 0 NA NA NA 5260 174 NA NA NA 6926 633 NA NA
1560636000.0 4.28 NA 63 406 0 NA NA 116 494 0 NA NA 340 3146 2208 NA NA 679 5786 2318 NA
1560636000.0 4.67 NA 59 447 0 NA NA 103 545 0 NA NA 393 8302 703 NA NA 1370 5510 817 NA
1560636000.0 500200.1 86 165 244 NA NA 161 396 356 NA NA 3337 1025 1967 NA NA 2169 1813 1958 NA NA
1560636000.0 504.0 43 0 NA NA NA 80 0 NA NA NA 252 163 NA NA NA 697 745 NA NA NA
1560636000.0 510.0 36 0 NA NA NA 79 0 NA NA NA 308 175 NA NA NA 1334 775 NA NA NA
1560636000.0 527.0 16 41 0 NA NA 56 86 0 NA NA 1654 244 158 NA NA 2502 828 683 NA NA
1560636000.0 530.0 16 37 0 NA NA 56 86 0 NA NA 1679 231 161 NA NA 4203 448 447 NA NA
1560636000.0 552.0 16 36 0 NA NA 56 86 0 NA NA 1652 241 162 NA NA 2798 532 601 NA NA
1560636000.0 554.0 16 36 0 NA NA 56 86 0 NA NA 2627 220 156 NA NA 5106 530 342 NA NA
1560636000.0 556.0 16 41 0 NA NA 56 86 0 NA NA 576 274 169 NA NA 798 1284 833 NA NA
1560636000.0 562.0 20 44 0 NA NA 56 86 0 NA NA 389 235 193 NA NA 1934 972 1868 NA NA
1560636000.0 7.0 57 79 172 47 0 113 358 257 91 0 977 455 683 170 285 1183 851 838 275 1126
