Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560636000.0 10005.0 NA 164 367 0 83 NA NA NA 563 548 0 135 NA NA NA 791 2128 997 262 NA NA NA 858 3236 1192 411 NA NA
1560636000.0 10006.0 NA 157 350 0 76 NA NA NA 564 534 0 134 NA NA NA 823 2218 1025 393 NA NA NA 1186 2922 1286 530 NA NA
1560636000.0 10024.5 NA 171 148 0 NA NA NA NA 608 233 0 NA NA NA NA 810 576 184 NA NA NA NA 1123 1138 659 NA NA NA
1560636000.0 10025.0 NA 162 356 0 71 NA NA NA 563 556 0 132 NA NA NA 756 2366 1211 608 NA NA NA 883 3510 1568 900 NA NA
1560636000.0 1004.0 NA 228 99 0 0 0 0 NA 342 162 0 0 0 0 NA 944 395 81 111 247 233 NA 2529 1172 267 260 380 290
1560636000.0 10059.0 NA 183 388 0 75 NA NA NA 609 596 0 133 NA NA NA 716 2747 1176 393 NA NA NA 1031 3998 1803 646 NA NA
1560636000.0 101.0 94 NA NA NA NA NA NA 161 NA NA NA NA NA NA 934 NA NA NA NA NA NA 1731 NA NA NA NA NA NA
1560636000.0 1010.0 NA 31 39 0 NA NA NA NA 88 99 0 NA NA NA NA 146 227 181 NA NA NA NA 566 525 426 NA NA NA
1560636000.0 102.0 97 NA NA NA NA NA NA 161 NA NA NA NA NA NA 772 NA NA NA NA NA NA 1000 NA NA NA NA NA NA
1560636000.0 1020.0 NA 69 31 0 68 NA NA NA 141 72 0 140 NA NA NA 296 139 89 287 NA NA NA 1070 620 228 842 NA NA
1560636000.0 1030.0 NA 192 48 0 0 NA NA NA 440 101 0 0 NA NA NA 7802 314 87 86 NA NA NA 4196 507 265 283 NA NA
1560636000.0 1040.0 NA 356 33 0 NA NA NA NA 561 76 0 NA NA NA NA 10450 138 111 NA NA NA NA 3573 580 455 NA NA NA
1560636000.0 1040.1 NA 77 34 0 NA NA NA NA 149 76 0 NA NA NA NA 708 153 135 NA NA NA NA 1103 401 646 NA NA NA
1560636000.0 108.0 96 113 301 NA NA NA NA 219 586 416 NA NA NA NA 3222 489 1880 NA NA NA NA 2073 451 2143 NA NA NA NA
1560636000.0 10824.0 NA 273 395 0 95 153 NA NA 683 611 0 160 245 NA NA 2385 2863 2222 535 1178 NA NA 3578 3754 2514 1062 1659 NA
1560636000.0 10824.5 NA 273 160 0 NA NA NA NA 662 253 0 NA NA NA NA 2316 686 187 NA NA NA NA 2495 1479 665 NA NA NA
1560636000.0 1102.0 NA 134 316 153 129 NA NA NA 593 458 241 178 NA NA NA 2485 4347 1852 299 NA NA NA 1749 3366 1617 240 NA NA
1560636000.0 113.0 107 100 278 NA NA NA NA 216 585 420 NA NA NA NA 1986 613 2141 NA NA NA NA 1670 933 3087 NA NA NA NA
