Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560718800.0 1.0 61 82 185 NA NA NA 118 120 232 NA NA NA 2779 750 2131 NA NA NA 3498 830 2261 NA NA NA
1560718800.0 1000.0 NA 278 174 0 50 NA NA 368 263 0 87 NA NA 7469 3865 1509 739 NA NA 8353 4330 1604 808 NA
1560718800.0 10001.0 NA 113 324 0 74 NA NA 192 382 0 112 NA NA 1276 4004 2861 550 NA NA 2334 5001 3096 637 NA
1560718800.0 10002.0 NA 119 328 0 74 NA NA 192 382 0 112 NA NA 1006 3798 1982 522 NA NA 1149 4144 2040 615 NA
1560718800.0 10004.0 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 10006.0 NA 113 320 0 74 NA NA 194 379 0 111 NA NA 1054 3914 1830 463 NA NA 1300 4090 1891 537 NA
1560718800.0 10007.0 NA 114 324 0 87 NA NA 194 382 0 112 NA NA 1339 4432 2828 563 NA NA 2348 5012 2969 707 NA
1560718800.0 10008.0 NA 117 330 0 75 NA NA 194 383 0 112 NA NA 917 3714 1783 545 NA NA 1038 3879 1831 619 NA
1560718800.0 10009.0 NA 113 328 0 76 NA NA 194 385 0 112 NA NA 898 4108 2305 502 NA NA 1007 4617 2376 583 NA
1560718800.0 1001.2 NA 308 125 0 NA NA NA 399 165 0 NA NA NA 38156 4244 260 NA NA NA 40715 4341 748 NA NA
1560718800.0 10024.2 NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA NA 0 NA NA NA NA
1560718800.0 10024.4 NA 89 NA NA NA NA NA 170 NA NA NA NA NA 686 NA NA NA NA NA 977 NA NA NA NA
1560718800.0 10026.0 NA 123 334 0 75 NA NA 198 391 0 113 NA NA 1633 5350 2154 562 NA NA 2671 5603 2212 642 NA
1560718800.0 1003.0 NA 232 0 NA NA NA NA 323 0 NA NA NA NA 8280 1318 NA NA NA NA 8795 1372 NA NA NA
1560718800.0 10042.0 NA 116 326 0 74 NA NA 195 385 0 113 NA NA 1457 4872 2621 560 NA NA 2451 5166 2682 649 NA
1560718800.0 101.0 93 NA NA NA NA NA 147 NA NA NA NA NA 3667 NA NA NA NA NA 3834 NA NA NA NA NA
1560718800.0 1010.0 NA 42 42 0 NA NA NA 102 76 0 NA NA NA 481 553 469 NA NA NA 623 633 551 NA NA
1560718800.0 102.0 96 NA NA NA NA NA 147 NA NA NA NA NA 3149 NA NA NA NA NA 3302 NA NA NA NA NA
1560718800.0 1020.0 NA 41 40 0 45 NA NA 114 61 0 116 NA NA 853 447 286 840 NA NA 1094 525 369 982 NA
1560718800.0 103.0 0 NA NA NA NA NA 0 NA NA NA NA NA 315 NA NA NA NA NA 639 NA NA NA NA NA
1560718800.0 1030.0 NA 150 49 0 0 NA NA 233 81 0 0 NA NA 16145 486 113 118 NA NA 16357 525 193 327 NA
1560718800.0 1040.0 NA 261 NA NA NA NA NA 350 NA NA NA NA NA 3488 NA NA NA NA NA 5082 NA NA NA NA
1560718800.0 106.0 47 0 0 NA NA NA 93 0 0 NA NA NA 1118 441 2663 NA NA NA 1730 544 2814 NA NA NA
1560718800.0 107.0 62 87 258 NA NA NA 119 123 316 NA NA NA 4948 743 3674 NA NA NA 5975 822 3835 NA NA NA
1560718800.0 108.0 63 84 270 NA NA NA 120 124 320 NA NA NA 5608 1061 3167 NA NA NA 6109 1558 3398 NA NA NA
1560718800.0 10803.0 NA 209 362 0 84 173 NA 292 415 0 120 233 NA 4307 3939 3429 722 1344 NA 5006 4091 3490 800 1439
1560718800.0 10824.1 NA 209 201 0 NA NA NA 302 241 0 NA NA NA 4223 1579 624 NA NA NA 4543 1689 660 NA NA
1560718800.0 10824.5 NA 209 107 0 NA NA NA 302 143 0 NA NA NA 3949 1139 316 NA NA NA 4124 1258 364 NA NA
1560718800.0 109.0 63 83 262 NA NA NA 120 124 321 NA NA NA 5575 1246 3000 NA NA NA 6655 1481 3141 NA NA NA
1560718800.0 110.0 60 81 262 NA NA NA 100 121 314 NA NA NA 1052 1108 3115 NA NA NA 1150 1484 3258 NA NA NA
1560718800.0 111.0 63 88 261 NA NA NA 119 123 317 NA NA NA 3353 796 3136 NA NA NA 3482 954 3264 NA NA NA
1560718800.0 112.0 61 84 263 NA NA NA 118 123 315 NA NA NA 2493 1050 2936 NA NA NA 2575 1480 3093 NA NA NA
1560718800.0 113.0 62 86 262 NA NA NA 119 123 317 NA NA NA 3266 1085 3144 NA NA NA 3375 1572 3290 NA NA NA
1560718800.0 114.0 62 86 259 NA NA NA 120 124 317 NA NA NA 4342 1005 3346 NA NA NA 5421 1243 3533 NA NA NA
