Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1560762000.0 1.0 63 83 188 NA NA NA NA NA NA 118 120 232 NA NA NA NA NA NA 1915 570 1558 NA NA NA NA NA NA 1990 642 1644 NA NA NA NA NA NA
1560762000.0 10.0 NA 114 277 0 NA NA NA NA NA NA 188 335 0 NA NA NA NA NA NA 5488 5048 883 NA NA NA NA NA NA 5988 5165 960 NA NA NA NA NA
1560762000.0 1000.0 NA 282 171 0 50 NA NA NA NA NA 368 263 0 87 NA NA NA NA NA 5396 2596 1204 527 NA NA NA NA NA 5599 2724 1265 572 NA NA NA NA
1560762000.0 10001.0 NA 121 333 0 75 NA NA NA NA NA 192 382 0 112 NA NA NA NA NA 679 2564 1607 377 NA NA NA NA NA 763 2910 1646 431 NA NA NA NA
1560762000.0 10002.0 NA 119 330 0 87 NA NA NA NA NA 192 382 0 112 NA NA NA NA NA 903 2709 1665 420 NA NA NA NA NA 1025 2836 1705 482 NA NA NA NA
1560762000.0 10003.0 NA 120 331 0 81 NA NA NA NA NA 192 385 0 112 NA NA NA NA NA 697 2616 1603 366 NA NA NA NA NA 782 2706 1641 469 NA NA NA NA
1560762000.0 10004.0 NA 109 324 0 74 NA NA NA NA NA 192 381 0 111 NA NA NA NA NA 1142 3363 1739 415 NA NA NA NA NA 1605 3639 1792 480 NA NA NA NA
1560762000.0 10005.0 NA 111 331 0 91 NA NA NA NA NA 192 382 0 112 NA NA NA NA NA 998 2530 1616 358 NA NA NA NA NA 1101 2645 1657 402 NA NA NA NA
1560762000.0 10006.0 NA 114 327 0 75 NA NA NA NA NA 194 379 0 111 NA NA NA NA NA 991 2632 1685 417 NA NA NA NA NA 1315 2742 1726 482 NA NA NA NA
1560762000.0 10007.0 NA 111 326 0 76 NA NA NA NA NA 194 382 0 112 NA NA NA NA NA 1260 3486 1732 436 NA NA NA NA NA 1878 3761 1797 501 NA NA NA NA
1560762000.0 10008.0 NA 119 338 0 90 NA NA NA NA NA 194 383 0 112 NA NA NA NA NA 1039 2627 1619 380 NA NA NA NA NA 1136 2720 1656 443 NA NA NA NA
1560762000.0 10009.0 NA 113 327 0 79 NA NA NA NA NA 194 385 0 112 NA NA NA NA NA 1199 3332 1701 416 NA NA NA NA NA 1690 3551 1756 488 NA NA NA NA
1560762000.0 1001.0 NA 243 116 0 0 0 0 0 0 NA 323 153 0 0 0 0 0 0 NA 4206 985 131 100 168 296 162 294 NA 4336 1234 158 118 188 343 183 315
1560762000.0 1002.0 NA 270 76 NA NA NA NA NA NA NA 359 115 NA NA NA NA NA NA NA 4790 816 NA NA NA NA NA NA NA 4912 847 NA NA NA NA NA NA
1560762000.0 10023.0 NA 114 330 0 91 NA NA NA NA NA 193 381 0 112 NA NA NA NA NA 843 2554 1641 387 NA NA NA NA NA 974 2636 1686 438 NA NA NA NA
1560762000.0 10024.0 NA 117 343 0 89 NA NA NA NA NA 197 390 0 113 NA NA NA NA NA 1044 2991 1666 400 NA NA NA NA NA 1140 3093 1700 442 NA NA NA NA
1560762000.0 10024.1 NA 117 188 0 NA NA NA NA NA NA 197 225 0 NA NA NA NA NA NA 2402 3319 1458 NA NA NA NA NA NA 2572 3564 1548 NA NA NA NA NA
1560762000.0 10024.2 NA 118 333 0 NA NA NA NA NA NA 197 387 0 NA NA NA NA NA NA 1047 2989 1614 NA NA NA NA NA NA 1155 3093 1650 NA NA NA NA NA
1560762000.0 10024.3 NA 120 183 0 NA NA NA NA NA NA 197 214 0 NA NA NA NA NA NA 2405 3165 1322 NA NA NA NA NA NA 2587 3436 1400 NA NA NA NA NA
1560762000.0 10024.4 NA 121 331 0 NA NA NA NA NA NA 197 385 0 NA NA NA NA NA NA 987 2984 1637 NA NA NA NA NA NA 1086 3074 1667 NA NA NA NA NA
1560762000.0 10024.5 NA 123 98 0 NA NA NA NA NA NA 197 122 0 NA NA NA NA NA NA 2391 1871 586 NA NA NA NA NA NA 2549 2336 673 NA NA NA NA NA
1560762000.0 10025.0 NA 122 333 0 76 NA NA NA NA NA 195 385 0 112 NA NA NA NA NA 797 2744 1623 384 NA NA NA NA NA 916 2819 1673 437 NA NA NA NA
1560762000.0 10026.0 NA 130 339 0 78 NA NA NA NA NA 198 391 0 113 NA NA NA NA NA 924 3368 1667 408 NA NA NA NA NA 986 3729 1752 451 NA NA NA NA
1560762000.0 1003.0 NA 234 0 NA NA NA NA NA NA NA 323 0 NA NA NA NA NA NA NA 5273 966 NA NA NA NA NA NA NA 5410 1005 NA NA NA NA NA NA
1560762000.0 10042.0 NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA
1560762000.0 10059.0 NA 127 341 0 92 NA NA NA NA NA 203 402 0 112 NA NA NA NA NA 987 4909 1681 395 NA NA NA NA NA 1123 5190 1711 446 NA NA NA NA
1560762000.0 10071.0 NA 118 338 0 82 NA NA NA NA NA 197 391 0 113 NA NA NA NA NA 1069 3089 1643 411 NA NA NA NA NA 1167 3184 1676 464 NA NA NA NA
1560762000.0 101.0 95 NA NA NA NA NA NA NA NA 147 NA NA NA NA NA NA NA NA 3704 NA NA NA NA NA NA NA NA 3832 NA NA NA NA NA NA NA NA
1560762000.0 1010.0 NA 40 40 0 NA NA NA NA NA NA 102 76 0 NA NA NA NA NA NA 501 591 485 NA NA NA NA NA NA 673 781 532 NA NA NA NA NA
1560762000.0 102.0 99 NA NA NA NA NA NA NA NA 147 NA NA NA NA NA NA NA NA 3134 NA NA NA NA NA NA NA NA 3258 NA NA NA NA NA NA NA NA
1560762000.0 1020.0 NA 56 40 0 48 NA NA NA NA NA 114 61 0 116 NA NA NA NA NA 853 472 299 848 NA NA NA NA NA 984 588 367 986 NA NA NA NA
1560762000.0 103.0 48 0 0 NA NA NA NA NA NA 93 0 0 NA NA NA NA NA NA 826 276 2072 NA NA NA NA NA NA 897 336 2188 NA NA NA NA NA NA
1560762000.0 1030.0 NA 152 47 0 0 NA NA NA NA NA 234 81 0 0 NA NA NA NA NA 37513 1140 283 275 NA NA NA NA NA 38122 1225 400 325 NA NA NA NA
1560762000.0 1040.0 NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA
