Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560805200.0 1.0 62 87 187 NA NA NA NA 118 120 231 NA NA NA NA 5190 1511 4398 NA NA NA NA 6929 2155 4778 NA NA NA NA
1560805200.0 10002.0 NA 119 328 0 75 NA NA NA 192 382 0 112 NA NA NA 2110 7735 4739 1047 NA NA NA 3350 8064 4826 1184 NA NA
1560805200.0 10006.0 NA 117 323 0 74 NA NA NA 194 379 0 111 NA NA NA 2128 7432 4581 1031 NA NA NA 3448 7683 4672 1166 NA NA
1560805200.0 10024.1 NA 125 184 0 NA NA NA NA 196 225 0 NA NA NA NA 861 1145 532 NA NA NA NA 950 1228 557 NA NA NA
1560805200.0 10024.2 NA 124 331 0 NA NA NA NA 197 387 0 NA NA NA NA 2606 8637 4698 NA NA NA NA 4455 8969 4759 NA NA NA
1560805200.0 10024.3 NA 121 177 0 NA NA NA NA 197 214 0 NA NA NA NA 869 1130 488 NA NA NA NA 933 1204 505 NA NA NA
1560805200.0 10024.4 NA 125 329 0 NA NA NA NA 196 385 0 NA NA NA NA 2546 8637 4603 NA NA NA NA 3982 9183 4662 NA NA NA
1560805200.0 10024.5 NA 123 95 0 NA NA NA NA 197 122 0 NA NA NA NA 861 661 188 NA NA NA NA 928 716 209 NA NA NA
1560805200.0 1003.0 NA 237 0 NA NA NA NA NA 323 0 NA NA NA NA NA 14206 2470 NA NA NA NA NA 14551 2550 NA NA NA NA
1560805200.0 1004.0 NA 197 98 0 0 0 0 NA 268 131 0 0 0 0 NA 1244 360 89 154 275 276 NA 1335 430 110 196 292 292
1560805200.0 101.0 94 NA NA NA NA NA NA 147 NA NA NA NA NA NA 1398 NA NA NA NA NA NA 1451 NA NA NA NA NA NA
1560805200.0 1010.0 NA 27 40 0 NA NA NA NA 102 76 0 NA NA NA NA 298 184 161 NA NA NA NA 801 245 200 NA NA NA
1560805200.0 102.0 96 NA NA NA NA NA NA 147 NA NA NA NA NA NA 1224 NA NA NA NA NA NA 1258 NA NA NA NA NA NA
1560805200.0 1020.0 NA 40 26 0 47 NA NA NA 114 61 0 116 NA NA NA 790 366 143 310 NA NA NA 1205 1353 247 375 NA NA
1560805200.0 103.0 48 0 0 NA NA NA NA 93 0 0 NA NA NA NA 725 204 1944 NA NA NA NA 769 225 2017 NA NA NA NA
1560805200.0 1030.0 NA 151 51 0 0 NA NA NA 234 81 0 0 NA NA NA 40575 1176 285 282 NA NA NA 42047 1283 706 504 NA NA
