Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1560636000.0 1000.0 NA 221 125 0 40 NA NA NA NA 286 187 0 79 NA NA NA NA 2724 614 619 137 NA NA NA NA 3495 2946 784 419 NA NA NA
1560636000.0 1001.0 NA 193 171 0 0 0 0 0 NA 254 219 0 0 0 0 0 NA 2163 713 6 65 762 52 629 NA 2399 903 21 72 831 71 674
1560636000.0 109.0 58 79 190 NA NA NA NA NA 101 149 255 NA NA NA NA NA 7102 574 678 NA NA NA NA NA 7857 697 931 NA NA NA NA NA
1560636000.0 117.0 55 80 189 NA NA NA NA NA 101 149 254 NA NA NA NA NA 7028 490 651 NA NA NA NA NA 7644 566 805 NA NA NA NA NA
1560636000.0 121.0 55 80 192 NA NA NA NA NA 101 149 254 NA NA NA NA NA 7231 445 685 NA NA NA NA NA 7935 575 865 NA NA NA NA NA
1560636000.0 1302.0 63 145 180 NA NA NA NA NA 110 199 234 NA NA NA NA NA 7568 739 1464 NA NA NA NA NA 10173 866 1658 NA NA NA NA NA
1560636000.0 1311.0 NA 162 225 0 59 NA NA NA NA 219 291 0 101 NA NA NA NA 592 992 1807 93 NA NA NA NA 763 1562 1961 1010 NA NA NA
1560636000.0 133.0 57 81 194 NA NA NA NA NA 102 149 255 NA NA NA NA NA 8239 439 803 NA NA NA NA NA 9169 516 997 NA NA NA NA NA
1560636000.0 134.701 NA 35 240 0 NA NA NA NA NA 85 311 0 NA NA NA NA NA 154 5344 596 NA NA NA NA NA 202 5926 648 NA NA NA NA
1560636000.0 134.703 NA 37 238 0 NA NA NA NA NA 87 318 0 NA NA NA NA NA 181 6786 572 NA NA NA NA NA 215 8692 639 NA NA NA NA
1560636000.0 134.708 NA 35 232 0 NA NA NA NA NA 84 303 0 NA NA NA NA NA 185 6234 541 NA NA NA NA NA 454 7805 579 NA NA NA NA
1560636000.0 134.709 NA 38 237 0 NA NA NA NA NA 87 303 0 NA NA NA NA NA 182 6749 552 NA NA NA NA NA 462 8499 604 NA NA NA NA
1560636000.0 134.71 NA 35 229 0 NA NA NA NA NA 79 295 0 NA NA NA NA NA 145 4555 578 NA NA NA NA NA 198 5282 651 NA NA NA NA
1560636000.0 134.802 NA 34 233 0 NA NA NA NA NA 86 313 0 NA NA NA NA NA 224 8740 514 NA NA NA NA NA 452 10431 561 NA NA NA NA
1560636000.0 134.803 NA 40 231 0 NA NA NA NA NA 87 312 0 NA NA NA NA NA 204 7992 553 NA NA NA NA NA 319 8784 660 NA NA NA NA
1560636000.0 134.804 NA 35 240 0 NA NA NA NA NA 86 315 0 NA NA NA NA NA 197 8610 498 NA NA NA NA NA 523 10437 538 NA NA NA NA
1560636000.0 134.805 NA 36 245 0 NA NA NA NA NA 88 324 0 NA NA NA NA NA 212 8774 567 NA NA NA NA NA 287 9801 611 NA NA NA NA
1560636000.0 134.807 NA 80 249 0 NA NA NA NA NA 146 334 0 NA NA NA NA NA 563 8674 635 NA NA NA NA NA 631 10439 756 NA NA NA NA
1560636000.0 134.809 NA 35 233 0 NA NA NA NA NA 83 311 0 NA NA NA NA NA 200 8323 570 NA NA NA NA NA 228 9431 625 NA NA NA NA
1560636000.0 134.81 NA 34 233 0 NA NA NA NA NA 85 311 0 NA NA NA NA NA 201 8430 536 NA NA NA NA NA 269 9322 567 NA NA NA NA
1560636000.0 134.811 NA 36 235 0 NA NA NA NA NA 85 313 0 NA NA NA NA NA 229 8599 513 NA NA NA NA NA 458 10481 548 NA NA NA NA
1560636000.0 134.812 NA 35 224 0 NA NA NA NA NA 82 294 0 NA NA NA NA NA 165 4873 556 NA NA NA NA NA 193 5516 656 NA NA NA NA
1560636000.0 134.901 NA 35 227 0 NA NA NA NA NA 84 291 0 NA NA NA NA NA 167 5011 553 NA NA NA NA NA 278 5895 596 NA NA NA NA
1560636000.0 134.903 NA 38 228 0 NA NA NA NA NA 88 298 0 NA NA NA NA NA 189 5733 586 NA NA NA NA NA 510 7428 642 NA NA NA NA
1560636000.0 134.905 NA 38 227 0 NA NA NA NA NA 86 299 0 NA NA NA NA NA 167 5574 572 NA NA NA NA NA 341 7281 712 NA NA NA NA
1560636000.0 134.906 NA 34 229 0 NA NA NA NA NA 86 298 0 NA NA NA NA NA 216 6565 538 NA NA NA NA NA 523 8274 609 NA NA NA NA
1560636000.0 134.909 NA 36 226 0 NA NA NA NA NA 87 298 0 NA NA NA NA NA 195 5930 618 NA NA NA NA NA 450 7524 663 NA NA NA NA
1560636000.0 134.91 NA 35 227 0 NA NA NA NA NA 86 291 0 NA NA NA NA NA 170 5376 601 NA NA NA NA NA 523 7184 685 NA NA NA NA
1560636000.0 134.911 NA 36 229 0 NA NA NA NA NA 86 301 0 NA NA NA NA NA 192 5640 583 NA NA NA NA NA 252 7420 640 NA NA NA NA
1560636000.0 134.912 NA 33 226 0 NA NA NA NA NA 83 292 0 NA NA NA NA NA 173 4448 625 NA NA NA NA NA 209 5021 701 NA NA NA NA
1560636000.0 134.99601 NA 36 232 0 NA NA NA NA NA 85 311 0 NA NA NA NA NA 201 9463 547 NA NA NA NA NA 523 11277 589 NA NA NA NA
1560636000.0 134.99602 NA 36 225 0 NA NA NA NA NA 86 299 0 NA NA NA NA NA 182 5429 561 NA NA NA NA NA 523 7383 687 NA NA NA NA
1560636000.0 134.99901 NA 35 232 0 NA NA NA NA NA 86 301 0 NA NA NA NA NA 176 5838 554 NA NA NA NA NA 217 6690 605 NA NA NA NA
1560636000.0 135.11 228 0 109 NA NA NA NA NA 307 0 160 NA NA NA NA NA 1375 374 592 NA NA NA NA NA 2143 415 785 NA NA NA NA NA
1560636000.0 136.724 NA 161 225 0 NA NA NA NA NA 241 348 0 NA NA NA NA NA 4049 8205 733 NA NA NA NA NA 5939 10092 753 NA NA NA NA
1560636000.0 136.726 NA 163 219 0 NA NA NA NA NA 236 336 0 NA NA NA NA NA 3293 7697 813 NA NA NA NA NA 5165 9905 834 NA NA NA NA
1560636000.0 136.728 NA 190 216 0 NA NA NA NA NA 285 349 0 NA NA NA NA NA 3496 7736 823 NA NA NA NA NA 5442 9991 840 NA NA NA NA
1560636000.0 136.731 NA 165 215 0 NA NA NA NA NA 240 360 0 NA NA NA NA NA 3184 7512 830 NA NA NA NA NA 5071 9735 884 NA NA NA NA
1560636000.0 136.734 NA 161 193 0 NA NA NA NA NA 236 331 0 NA NA NA NA NA 3197 7415 818 NA NA NA NA NA 5077 9790 869 NA NA NA NA
1560636000.0 136.735 NA 152 221 0 NA NA NA NA NA 212 280 0 NA NA NA NA NA 996 2364 941 NA NA NA NA NA 1430 2781 1063 NA NA NA NA
1560636000.0 139901.0 NA 164 245 0 NA NA NA NA NA 224 313 0 NA NA NA NA NA 685 1445 1730 NA NA NA NA NA 1001 2579 2160 NA NA NA NA
1560636000.0 139902.0 NA 166 250 0 NA NA NA NA NA 229 319 0 NA NA NA NA NA 776 1671 1960 NA NA NA NA NA 941 1992 2125 NA NA NA NA
1560636000.0 24.0 NA 82 197 0 NA NA NA NA NA 151 257 0 NA NA NA NA NA 2347 2861 650 NA NA NA NA NA 2543 3294 755 NA NA NA NA
1560636000.0 25.0 NA 83 212 0 84 NA NA NA NA 151 270 0 125 NA NA NA NA 2329 3078 655 129 NA NA NA NA 2859 4203 803 255 NA NA NA
1560636000.0 250202.0 NA 231 283 0 NA NA NA NA NA 358 358 0 NA NA NA NA NA 13721 3229 1313 NA NA NA NA NA 15115 3391 1340 NA NA NA NA
1560636000.0 250409.0 233 0 112 NA NA NA NA NA 323 0 162 NA NA NA NA NA 1877 382 764 NA NA NA NA NA 2804 420 945 NA NA NA NA NA
1560636000.0 25211.0 67 207 296 0 NA NA NA NA 158 285 411 0 NA NA NA NA 2503 2477 3248 1287 NA NA NA NA 3892 2891 4195 1446 NA NA NA NA
1560636000.0 25213.0 66 202 294 0 NA NA NA NA 158 282 414 0 NA NA NA NA 3867 2697 3394 1329 NA NA NA NA 5671 5340 6183 1353 NA NA NA NA
1560636000.0 25407.0 247 0 110 NA NA NA NA NA 343 0 155 NA NA NA NA NA 3156 344 560 NA NA NA NA NA 5219 411 680 NA NA NA NA NA
1560636000.0 34.0 54 77 193 0 NA NA NA NA 99 149 254 0 NA NA NA NA 4462 565 535 579 NA NA NA NA 4950 696 710 659 NA NA NA NA
1560636000.0 35.0 NA 81 195 0 NA NA NA NA NA 151 255 0 NA NA NA NA NA 2168 2007 661 NA NA NA NA NA 2372 2337 808 NA NA NA NA
1560636000.0 36.0 NA 81 198 0 NA NA NA NA NA 151 261 0 NA NA NA NA NA 2128 10444 647 NA NA NA NA NA 2345 11389 713 NA NA NA NA
1560636000.0 38.0 NA 82 202 0 NA NA NA NA NA 151 267 0 NA NA NA NA NA 2386 2833 618 NA NA NA NA NA 2606 3113 784 NA NA NA NA
1560636000.0 4.17 NA 33 218 0 127 NA NA NA NA 77 282 0 188 NA NA NA NA 117 2691 506 696 NA NA NA NA 225 3145 555 1190 NA NA NA
1560636000.0 4.29 NA 37 216 0 128 NA NA NA NA 78 280 0 187 NA NA NA NA 115 2904 526 671 NA NA NA NA 316 3745 900 1356 NA NA NA
1560636000.0 4.37 NA 51 221 0 NA NA NA NA NA 95 290 0 NA NA NA NA NA 112 4431 546 NA NA NA NA NA 234 5013 598 NA NA NA NA
1560636000.0 4.4 NA 33 221 0 NA NA NA NA NA 80 288 0 NA NA NA NA NA 144 4359 527 NA NA NA NA NA 204 4841 609 NA NA NA NA
1560636000.0 4.41 NA 33 223 0 NA NA NA NA NA 78 289 0 NA NA NA NA NA 149 6180 514 NA NA NA NA NA 207 6913 584 NA NA NA NA
1560636000.0 4.42 NA 32 226 0 NA NA NA NA NA 79 304 0 NA NA NA NA NA 171 6956 532 NA NA NA NA NA 456 7853 585 NA NA NA NA
1560636000.0 4.44 NA 35 218 0 NA NA NA NA NA 79 284 0 NA NA NA NA NA 155 5179 571 NA NA NA NA NA 196 6003 641 NA NA NA NA
1560636000.0 4.52 NA 33 226 0 NA NA NA NA NA 78 301 0 NA NA NA NA NA 170 8745 565 NA NA NA NA NA 251 9697 607 NA NA NA NA
1560636000.0 4.57 NA 53 233 0 NA NA NA NA NA 92 310 0 NA NA NA NA NA 151 9579 548 NA NA NA NA NA 262 10474 601 NA NA NA NA
1560636000.0 4.58 NA 40 224 0 NA NA NA NA NA 88 290 0 NA NA NA NA NA 130 5328 593 NA NA NA NA NA 172 5931 672 NA NA NA NA
1560636000.0 4.63 NA 32 228 0 NA NA NA NA NA 78 303 0 NA NA NA NA NA 197 8554 585 NA NA NA NA NA 472 9406 663 NA NA NA NA
