Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1560636000.0 1001.0 NA 273 116 0 0 0 0 0 0 NA 730 266 0 0 0 0 0 0 NA 3913 1056 139 105 145 214 133 237 NA 4774 1867 235 168 171 237 156 259
1560636000.0 1001.2 NA 374 138 0 NA NA NA NA NA NA 870 289 0 NA NA NA NA NA NA 15851 2015 192 NA NA NA NA NA NA 7309 1407 1206 NA NA NA NA NA
1560636000.0 1002.0 NA 307 78 NA NA NA NA NA NA NA 735 187 NA NA NA NA NA NA NA 3494 402 NA NA NA NA NA NA NA 4035 457 NA NA NA NA NA NA
1560636000.0 10024.1 NA 174 191 0 NA NA NA NA NA NA 584 459 0 NA NA NA NA NA NA 1872 1125 393 NA NA NA NA NA NA 1479 2295 523 NA NA NA NA NA
1560636000.0 10024.2 NA 188 378 0 NA NA NA NA NA NA 596 827 0 NA NA NA NA NA NA 2194 4087 1710 NA NA NA NA NA NA 1667 4314 1938 NA NA NA NA NA
1560636000.0 10024.3 NA 176 178 0 NA NA NA NA NA NA 603 443 0 NA NA NA NA NA NA 2070 1058 351 NA NA NA NA NA NA 1562 1723 504 NA NA NA NA NA
1560636000.0 10024.4 NA 183 394 0 NA NA NA NA NA NA 634 871 0 NA NA NA NA NA NA 2448 3578 1750 NA NA NA NA NA NA 1642 4069 1904 NA NA NA NA NA
1560636000.0 10024.5 NA 174 91 0 NA NA NA NA NA NA 621 326 0 NA NA NA NA NA NA 1753 624 179 NA NA NA NA NA NA 980 2861 889 NA NA NA NA NA
1560636000.0 1003.0 NA 266 0 NA NA NA NA NA NA NA 675 0 NA NA NA NA NA NA NA 3727 655 NA NA NA NA NA NA NA 3166 1168 NA NA NA NA NA NA
1560636000.0 101.0 81 NA NA NA NA NA NA NA NA 269 NA NA NA NA NA NA NA NA 907 NA NA NA NA NA NA NA NA 2014 NA NA NA NA NA NA NA NA
1560636000.0 102.0 83 NA NA NA NA NA NA NA NA 268 NA NA NA NA NA NA NA NA 836 NA NA NA NA NA NA NA NA 2169 NA NA NA NA NA NA NA NA
1560636000.0 10224.0 NA 364 594 0 NA NA NA NA NA NA 789 1109 0 NA NA NA NA NA NA 5025 5392 1119 NA NA NA NA NA NA 2380 3080 1358 NA NA NA NA NA
1560636000.0 10225.0 NA 349 578 0 NA NA NA NA NA NA 756 1016 0 NA NA NA NA NA NA 5081 7031 1617 NA NA NA NA NA NA 3203 5417 2209 NA NA NA NA NA
1560636000.0 103.0 42 0 0 NA NA NA NA NA NA 172 0 0 NA NA NA NA NA NA 470 295 1643 NA NA NA NA NA NA 1378 870 2406 NA NA NA NA NA NA
1560636000.0 1040.0 NA 351 32 0 NA NA NA NA NA NA 783 140 0 NA NA NA NA NA NA 12599 152 128 NA NA NA NA NA NA 4939 334 459 NA NA NA NA NA
1560636000.0 10424.0 NA 183 389 0 NA NA NA NA NA NA 571 830 0 NA NA NA NA NA NA 1842 3754 1562 NA NA NA NA NA NA 1593 4830 1747 NA NA NA NA NA
1560636000.0 106.0 44 0 0 NA NA NA NA NA NA 172 0 0 NA NA NA NA NA NA 720 752 3005 NA NA NA NA NA NA 1415 704 4708 NA NA NA NA NA NA
