Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1560718800.0 101.0 80 NA NA 269 NA NA 781 NA NA 1046 NA NA
1560718800.0 102.0 83 NA NA 269 NA NA 689 NA NA 967 NA NA
1560718800.0 135.4 308 0 124 1036 0 302 1247 221 540 2913 479 942
1560718800.0 136.7801 NA 85 NA NA 254 NA NA 296 NA NA 526 NA
1560718800.0 136.7803 NA 83 NA NA 243 NA NA 456 NA NA 887 NA
1560718800.0 511.0 35 0 NA 178 0 NA 9631 156 NA 12737 584 NA
1560718800.0 513.0 14 32 0 116 163 0 701 228 154 2635 869 645
1560718800.0 516.0 14 32 0 116 159 0 708 242 162 2845 1061 733
1560718800.0 519.0 14 37 0 116 159 0 703 219 163 3549 555 636
1560718800.0 521.0 14 36 0 116 160 0 722 217 154 4376 568 479
1560718800.0 525.0 14 37 0 116 160 0 695 229 161 2146 1349 572
1560718800.0 554.0 13 35 0 116 160 0 1702 247 160 3754 1139 680
1560718800.0 562.0 14 33 0 116 156 0 368 215 153 2113 907 441
