Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560805200.0 10001.0 NA 165 356 0 67 NA 585 805 0 211 NA 1527 2289 1054 286 NA 1048 2626 1328 565
1560805200.0 10002.0 NA 165 361 0 67 NA 586 805 0 210 NA 1513 2220 1053 279 NA 945 2727 1336 534
1560805200.0 10003.0 NA 166 361 0 76 NA 581 838 0 207 NA 1578 2240 1062 420 NA 827 2271 1523 544
1560805200.0 10004.0 NA 164 358 0 68 NA 619 815 0 211 NA 1640 2201 1050 291 NA 900 2641 1247 792
1560805200.0 10005.0 NA 164 357 0 67 NA 580 877 0 204 NA 1604 2254 1062 440 NA 886 2532 1481 601
1560805200.0 10006.0 NA 166 348 0 66 NA 622 771 0 204 NA 1595 2197 1057 290 NA 805 2539 1413 673
1560805200.0 10007.0 NA 166 363 0 75 NA 637 803 0 208 NA 1541 2253 1066 285 NA 1022 2568 1372 549
1560805200.0 10008.0 NA 167 359 0 67 NA 580 795 0 204 NA 1578 2250 1057 286 NA 1374 2359 1447 709
1560805200.0 1001.2 NA 379 129 0 NA NA 870 288 0 NA NA 15071 1879 133 NA NA 5782 1296 275 NA
1560805200.0 1002.0 NA 309 76 NA NA NA 757 190 NA NA NA 3331 410 NA NA NA 2602 337 NA NA
1560805200.0 10023.0 NA 167 350 0 67 NA 575 803 0 203 NA 1524 2209 1065 290 NA 1029 2530 1347 662
1560805200.0 10024.0 NA 177 378 0 68 NA 592 872 0 212 NA 1667 2577 1086 304 NA 1395 2630 1490 868
1560805200.0 10024.1 NA 176 191 0 NA NA 683 442 0 NA NA 1392 834 317 NA NA 672 1246 390 NA
1560805200.0 10024.2 NA 185 392 0 NA NA 632 819 0 NA NA 1632 2255 897 NA NA 1788 2477 993 NA
1560805200.0 10024.3 NA 175 177 0 NA NA 673 433 0 NA NA 1391 815 278 NA NA 723 1090 389 NA
1560805200.0 10024.4 NA 185 384 0 NA NA 596 759 0 NA NA 1723 2351 869 NA NA 1426 3448 945 NA
1560805200.0 10024.5 NA 177 93 0 NA NA 679 322 0 NA NA 1588 507 140 NA NA 771 1010 279 NA
1560805200.0 10025.0 NA 173 365 0 76 NA 617 847 0 210 NA 1685 2352 1061 404 NA 925 2564 1243 553
1560805200.0 10026.0 NA 178 379 0 71 NA 619 825 0 212 NA 1664 2829 1088 290 NA 1328 3023 1289 487
