Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1560718800.0 1000.0 NA 279 144 0 50 NA NA NA NA NA 585 307 0 100 NA NA NA NA NA 3668 1407 857 376 NA NA NA NA NA 6103 3079 1330 1194 NA NA NA NA
1560718800.0 10001.0 NA 162 NA NA NA NA NA NA NA NA 458 NA NA NA NA NA NA NA NA 2047 NA NA NA NA NA NA NA NA 3310 NA NA NA NA NA NA NA
1560718800.0 10002.0 NA 165 NA NA NA NA NA NA NA NA 471 NA NA NA NA NA NA NA NA 2194 NA NA NA NA NA NA NA NA 2303 NA NA NA NA NA NA NA
1560718800.0 10003.0 NA 165 NA NA NA NA NA NA NA NA 532 NA NA NA NA NA NA NA NA 1831 NA NA NA NA NA NA NA NA 1826 NA NA NA NA NA NA NA
1560718800.0 10004.0 NA 170 NA NA NA NA NA NA NA NA 520 NA NA NA NA NA NA NA NA 2208 NA NA NA NA NA NA NA NA 4107 NA NA NA NA NA NA NA
1560718800.0 10005.0 NA 163 NA NA NA NA NA NA NA NA 496 NA NA NA NA NA NA NA NA 1926 NA NA NA NA NA NA NA NA 2100 NA NA NA NA NA NA NA
1560718800.0 10006.0 NA 173 NA NA NA NA NA NA NA NA 483 NA NA NA NA NA NA NA NA 2221 NA NA NA NA NA NA NA NA 4109 NA NA NA NA NA NA NA
1560718800.0 10007.0 NA 173 NA NA NA NA NA NA NA NA 488 NA NA NA NA NA NA NA NA 2288 NA NA NA NA NA NA NA NA 4107 NA NA NA NA NA NA NA
1560718800.0 10008.0 NA 165 NA NA NA NA NA NA NA NA 460 NA NA NA NA NA NA NA NA 2281 NA NA NA NA NA NA NA NA 3513 NA NA NA NA NA NA NA
1560718800.0 10009.0 NA 167 NA NA NA NA NA NA NA NA 474 NA NA NA NA NA NA NA NA 2408 NA NA NA NA NA NA NA NA 3046 NA NA NA NA NA NA NA
1560718800.0 1001.0 NA 255 109 0 0 0 0 0 0 NA 544 184 0 0 0 0 0 0 NA 3188 795 151 119 178 313 161 314 NA 5609 2028 715 669 670 562 484 642
1560718800.0 1001.2 NA 366 135 0 NA NA NA NA NA NA 677 208 0 NA NA NA NA NA NA 16256 2087 143 NA NA NA NA NA NA 12937 1574 227 NA NA NA NA NA
1560718800.0 10023.0 NA 165 NA NA NA NA NA NA NA NA 498 NA NA NA NA NA NA NA NA 2098 NA NA NA NA NA NA NA NA 2259 NA NA NA NA NA NA NA
