Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1560636000.0 1000.0 NA 289 148 0 48 NA NA NA NA NA 578 288 0 105 NA NA NA NA NA 3293 1287 783 336 NA NA NA NA NA 3933 1513 1180 497 NA NA NA NA
1560636000.0 1001.0 NA 260 112 0 0 0 0 0 0 NA 522 182 0 0 0 0 0 0 NA 2979 711 114 81 131 275 130 290 NA 4047 955 237 173 263 391 259 402
1560636000.0 1001.2 NA 367 139 0 NA NA NA NA NA NA 664 230 0 NA NA NA NA NA NA 15375 1951 135 NA NA NA NA NA NA 8189 1623 266 NA NA NA NA NA
1560636000.0 1002.0 NA 304 76 NA NA NA NA NA NA NA 545 143 NA NA NA NA NA NA NA 3630 415 NA NA NA NA NA NA NA 5079 774 NA NA NA NA NA NA
1560636000.0 10024.5 NA 175 90 0 NA NA NA NA NA NA 496 220 0 NA NA NA NA NA NA 1926 652 199 NA NA NA NA NA NA 1113 2711 881 NA NA NA NA NA
1560636000.0 101.0 79 NA NA NA NA NA NA NA NA 168 NA NA NA NA NA NA NA NA 885 NA NA NA NA NA NA NA NA 1243 NA NA NA NA NA NA NA NA
1560636000.0 1010.0 NA 29 38 0 NA NA NA NA NA NA 85 96 0 NA NA NA NA NA NA 125 196 131 NA NA NA NA NA NA 367 966 193 NA NA NA NA NA
1560636000.0 102.0 81 NA NA NA NA NA NA NA NA 168 NA NA NA NA NA NA NA NA 803 NA NA NA NA NA NA NA NA 1047 NA NA NA NA NA NA NA NA
1560636000.0 1020.0 NA 48 25 0 40 NA NA NA NA NA 140 70 0 140 NA NA NA NA NA 278 100 68 280 NA NA NA NA NA 896 257 311 406 NA NA NA NA
1560636000.0 103.0 39 0 0 NA NA NA NA NA NA 106 0 0 NA NA NA NA NA NA 527 344 1792 NA NA NA NA NA NA 3343 1386 4253 NA NA NA NA NA NA
1560636000.0 1030.0 NA 175 42 0 0 NA NA NA NA NA 341 94 0 0 NA NA NA NA NA 8348 298 96 86 NA NA NA NA NA 3694 533 472 149 NA NA NA NA
1560636000.0 1040.1 NA 69 28 0 NA NA NA NA NA NA 139 79 0 NA NA NA NA NA NA 351 162 134 NA NA NA NA NA NA 655 402 203 NA NA NA NA NA
1560636000.0 10803.0 NA 254 398 0 74 146 NA NA NA NA 675 710 0 141 261 NA NA NA NA 2760 2823 1995 823 998 NA NA NA NA 3654 3402 2166 1393 1348 NA NA NA
1560636000.0 10804.0 NA 242 390 0 76 137 NA NA NA NA 650 691 0 147 254 NA NA NA NA 2695 2652 2044 836 998 NA NA NA NA 3275 2965 2221 1340 1203 NA NA NA
1560636000.0 10807.0 NA 246 395 0 89 147 NA NA NA NA 620 654 0 159 282 NA NA NA NA 2785 2741 2073 836 974 NA NA NA NA 3593 3095 2406 1108 1351 NA NA NA
1560636000.0 10824.7 NA 278 407 0 87 144 NA NA NA NA 594 676 0 162 279 NA NA NA NA 2922 3088 2046 822 1073 NA NA NA NA 3787 4831 2265 1095 1312 NA NA NA
1560636000.0 10825.0 NA 256 398 0 85 141 NA NA NA NA 642 653 0 143 275 NA NA NA NA 2764 2788 2070 843 1042 NA NA NA NA 4321 3157 2490 1267 1247 NA NA NA
1560636000.0 10842.0 NA 259 402 0 85 137 NA NA NA NA 623 672 0 157 276 NA NA NA NA 2806 2895 2052 858 988 NA NA NA NA 3271 3604 2264 1278 1248 NA NA NA
1560636000.0 10842.7 NA 263 396 0 93 138 NA NA NA NA 692 711 0 157 276 NA NA NA NA 2924 2855 2062 830 1001 NA NA NA NA 3913 4760 2320 1015 1371 NA NA NA
1560636000.0 11224.0 NA 273 410 0 NA NA NA NA NA NA 662 689 0 NA NA NA NA NA NA 2646 2999 2106 NA NA NA NA NA NA 5008 3231 2406 NA NA NA NA NA
1560636000.0 11623.0 NA 167 353 0 73 NA NA NA NA NA 567 687 0 123 NA NA NA NA NA 1650 2220 1061 563 NA NA NA NA NA 950 2471 1305 783 NA NA NA NA
1560636000.0 11824.0 NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA
1560636000.0 11825.0 NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA
1560636000.0 122.0 39 0 0 NA NA NA NA NA NA 105 0 0 NA NA NA NA NA NA 537 317 1676 NA NA NA NA NA NA 2419 1269 3640 NA NA NA NA NA NA
1560636000.0 1303.0 71 137 213 NA NA NA NA NA NA 148 466 545 NA NA NA NA NA NA 6398 566 2052 NA NA NA NA NA NA 3748 560 2209 NA NA NA NA NA NA
1560636000.0 1325.5 NA 156 0 NA NA NA NA NA NA NA 280 0 NA NA NA NA NA NA NA 4815 169 NA NA NA NA NA NA NA 5895 612 NA NA NA NA NA NA
1560636000.0 1325.51 NA 157 0 NA NA NA NA NA NA NA 267 0 NA NA NA NA NA NA NA 1780 146 NA NA NA NA NA NA NA 3058 206 NA NA NA NA NA NA
1560636000.0 1325.8 NA 191 0 NA NA NA NA NA NA NA 327 0 NA NA NA NA NA NA NA 3835 141 NA NA NA NA NA NA NA 2676 504 NA NA NA NA NA NA
1560636000.0 1329.1 NA 163 0 NA NA NA NA NA NA NA 307 0 NA NA NA NA NA NA NA 5808 154 NA NA NA NA NA NA NA 6714 551 NA NA NA NA NA NA
1560636000.0 134.813 NA 149 71 0 NA NA NA NA NA NA 276 122 0 NA NA NA NA NA NA 1036 300 298 NA NA NA NA NA NA 998 1361 457 NA NA NA NA NA
1560636000.0 135.11 317 0 125 NA NA NA NA NA NA 800 0 218 NA NA NA NA NA NA 1915 337 852 NA NA NA NA NA NA 2629 1096 1298 NA NA NA NA NA NA
1560636000.0 135.12 310 0 113 NA NA NA NA NA NA 847 0 213 NA NA NA NA NA NA 1498 322 802 NA NA NA NA NA NA 1831 1022 2810 NA NA NA NA NA NA
1560636000.0 135.2 265 0 116 NA NA NA NA NA NA 784 0 199 NA NA NA NA NA NA 1399 305 784 NA NA NA NA NA NA 4264 872 2794 NA NA NA NA NA NA
1560636000.0 135.4 303 0 114 NA NA NA NA NA NA 793 0 209 NA NA NA NA NA NA 1532 317 767 NA NA NA NA NA NA 2553 1072 2394 NA NA NA NA NA NA
1560636000.0 135.8 136 NA NA NA NA NA NA NA NA 241 NA NA NA NA NA NA NA NA 485 NA NA NA NA NA NA NA NA 544 NA NA NA NA NA NA NA NA
1560636000.0 135.9 305 0 117 NA NA NA NA NA NA 796 0 209 NA NA NA NA NA NA 1516 310 758 NA NA NA NA NA NA 2418 895 2071 NA NA NA NA NA NA
1560636000.0 136.733 NA 172 71 0 NA NA NA NA NA NA 291 128 0 NA NA NA NA NA NA 1126 309 287 NA NA NA NA NA NA 877 638 537 NA NA NA NA NA
1560636000.0 136.734 NA 78 337 0 NA NA NA NA NA NA 159 651 0 NA NA NA NA NA NA 784 9220 987 NA NA NA NA NA NA 1195 4887 1515 NA NA NA NA NA
1560636000.0 136.738 NA 85 348 0 NA NA NA NA NA NA 156 639 0 NA NA NA NA NA NA 894 14047 941 NA NA NA NA NA NA 3838 7126 1051 NA NA NA NA NA
1560636000.0 136.742 NA 81 352 0 NA NA NA NA NA NA 154 638 0 NA NA NA NA NA NA 669 12902 1031 NA NA NA NA NA NA 1074 7108 2365 NA NA NA NA NA
1560636000.0 136.746 NA 81 343 0 NA NA NA NA NA NA 160 624 0 NA NA NA NA NA NA 827 13190 921 NA NA NA NA NA NA 1358 6520 1616 NA NA NA NA NA
1560636000.0 136.752 NA 79 353 0 NA NA NA NA NA NA 164 697 0 NA NA NA NA NA NA 730 13198 874 NA NA NA NA NA NA 1828 5410 998 NA NA NA NA NA
1560636000.0 136.758 NA 82 359 0 NA NA NA NA NA NA 163 669 0 NA NA NA NA NA NA 737 15450 977 NA NA NA NA NA NA 1578 8035 2447 NA NA NA NA NA
1560636000.0 136.7611 NA 175 0 NA NA NA NA NA NA NA 295 0 NA NA NA NA NA NA NA 5578 159 NA NA NA NA NA NA NA 7366 438 NA NA NA NA NA NA
1560636000.0 136.763 NA 87 362 0 NA NA NA NA NA NA 162 712 0 NA NA NA NA NA NA 824 18637 958 NA NA NA NA NA NA 3833 8408 1154 NA NA NA NA NA
1560636000.0 136.769 NA 81 349 0 NA NA NA NA NA NA 162 682 0 NA NA NA NA NA NA 671 11353 841 NA NA NA NA NA NA 2116 5223 1011 NA NA NA NA NA
1560636000.0 136.772 NA 82 370 0 NA NA NA NA NA NA 160 749 0 NA NA NA NA NA NA 647 13816 855 NA NA NA NA NA NA 1168 5663 1052 NA NA NA NA NA
1560636000.0 136.7721 NA 167 0 NA NA NA NA NA NA NA 286 0 NA NA NA NA NA NA NA 5197 160 NA NA NA NA NA NA NA 6961 435 NA NA NA NA NA NA
1560636000.0 136.7722 NA 152 0 NA NA NA NA NA NA NA 267 0 NA NA NA NA NA NA NA 5525 151 NA NA NA NA NA NA NA 5880 521 NA NA NA NA NA NA
1560636000.0 136.779 NA 80 348 0 NA NA NA NA NA NA 158 659 0 NA NA NA NA NA NA 784 11947 856 NA NA NA NA NA NA 1313 5500 977 NA NA NA NA NA
1560636000.0 136.7801 NA 100 0 NA NA NA NA NA NA NA 173 0 NA NA NA NA NA NA NA 426 268 NA NA NA NA NA NA NA 816 541 NA NA NA NA NA NA
1560636000.0 136.7802 NA 73 0 NA NA NA NA NA NA NA 147 0 NA NA NA NA NA NA NA 315 152 NA NA NA NA NA NA NA 521 257 NA NA NA NA NA NA
1560636000.0 136.7803 NA 102 0 NA NA NA NA NA NA NA 202 0 NA NA NA NA NA NA NA 714 218 NA NA NA NA NA NA NA 1315 357 NA NA NA NA NA NA
1560636000.0 136.7952 NA 189 0 NA NA NA NA NA NA NA 304 0 NA NA NA NA NA NA NA 3444 137 NA NA NA NA NA NA NA 2180 873 NA NA NA NA NA NA
1560636000.0 136.804 NA 103 407 0 NA NA NA NA NA NA 192 729 0 NA NA NA NA NA NA 718 13705 1099 NA NA NA NA NA NA 1359 5976 1297 NA NA NA NA NA
1560636000.0 136.806 NA 109 399 0 NA NA NA NA NA NA 188 742 0 NA NA NA NA NA NA 768 14153 1094 NA NA NA NA NA NA 3001 7739 1249 NA NA NA NA NA
1560636000.0 136.8311 NA 172 0 NA NA NA NA NA NA NA 299 0 NA NA NA NA NA NA NA 2308 148 NA NA NA NA NA NA NA 2436 218 NA NA NA NA NA NA
1560636000.0 136.837 NA 104 416 0 NA NA NA NA NA NA 187 650 0 NA NA NA NA NA NA 662 17701 1182 NA NA NA NA NA NA 1074 10273 1646 NA NA NA NA NA
1560636000.0 136.844 NA 102 411 0 NA NA NA NA NA NA 186 703 0 NA NA NA NA NA NA 829 17110 1077 NA NA NA NA NA NA 1137 8523 1231 NA NA NA NA NA
