Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1560636000.0 10024.3 NA 184 187 0 NA 533 322 0 NA 1276 1097 687 NA 1170 1786 1235
1560636000.0 10024.4 NA 184 389 0 NA 482 710 0 NA 1153 2440 1277 NA 859 3165 1354
1560636000.0 10024.5 NA 185 87 0 NA 496 231 0 NA 1441 661 157 NA 917 1629 255
1560636000.0 1003.0 NA 270 0 NA NA 536 0 NA NA 3333 707 NA NA 3030 998 NA
1560636000.0 101.0 82 NA NA NA 170 NA NA NA 856 NA NA NA 1125 NA NA NA
1560636000.0 102.0 88 NA NA NA 170 NA NA NA 816 NA NA NA 1552 NA NA NA
1560636000.0 1040.1 NA 67 30 0 NA 141 82 0 NA 414 135 171 NA 666 484 695
1560636000.0 10424.0 NA 179 388 0 NA 517 745 0 NA 901 2416 1340 NA 923 3410 1549
1560636000.0 11224.0 NA 318 416 0 NA 681 678 0 NA 2349 3306 2478 NA 1797 3797 3207
1560636000.0 127.0 57 108 290 NA 128 494 602 NA 918 428 1694 NA 2159 391 2017 NA
1560636000.0 1303.0 77 144 256 NA 149 447 620 NA 5483 485 1795 NA 2456 1180 1670 NA
1560636000.0 1309.0 NA 151 360 0 NA 547 650 0 NA 634 2112 930 NA 679 2250 1020
1560636000.0 1312.0 NA 147 367 0 NA 527 716 0 NA 705 2166 969 NA 795 2649 1044
1560636000.0 1325.5 NA 168 0 NA NA 276 0 NA NA 4496 161 NA NA 5539 424 NA
1560636000.0 1325.51 NA 159 0 NA NA 276 0 NA NA 1896 149 NA NA 3150 254 NA
1560636000.0 1325.6 NA 193 NA NA NA 331 NA NA NA 3587 NA NA NA 2870 NA NA
1560636000.0 1325.7 NA 192 0 NA NA 329 0 NA NA 4223 139 NA NA 3774 254 NA
1560636000.0 1325.8 NA 197 0 NA NA 335 0 NA NA 4022 136 NA NA 3564 221 NA
1560636000.0 1329.1 NA 178 0 NA NA 315 0 NA NA 5473 133 NA NA 6266 302 NA
1560636000.0 1345.0 NA 151 358 0 NA 460 623 0 NA 571 2393 1048 NA 971 3031 1330
1560636000.0 135.2 271 0 125 NA 787 0 222 NA 1357 395 618 NA 1432 534 897 NA
1560636000.0 135.8 140 NA NA NA 241 NA NA NA 492 NA NA NA 846 NA NA NA
1560636000.0 136.742 NA 90 367 0 NA 159 671 0 NA 653 11969 937 NA 1081 5049 1316
1560636000.0 136.753 NA 89 368 0 NA 160 654 0 NA 642 12158 951 NA 1206 5229 1139
1560636000.0 136.757 NA 92 366 0 NA 170 739 0 NA 771 11489 984 NA 1105 4698 1928
1560636000.0 136.7611 NA 180 0 NA NA 304 0 NA NA 5203 151 NA NA 6264 472 NA
1560636000.0 136.7721 NA 178 0 NA NA 290 0 NA NA 4881 151 NA NA 5352 421 NA
1560636000.0 136.7722 NA 161 0 NA NA 272 0 NA NA 5127 130 NA NA 5232 408 NA
1560636000.0 136.7801 NA 107 0 NA NA 184 0 NA NA 639 333 NA NA 1337 590 NA
1560636000.0 136.7802 NA 77 0 NA NA 148 0 NA NA 370 157 NA NA 573 404 NA
1560636000.0 136.7803 NA 107 0 NA NA 198 0 NA NA 868 254 NA NA 1138 547 NA
1560636000.0 136.806 NA 118 415 0 NA 194 670 0 NA 684 13517 1163 NA 769 6696 1263
1560636000.0 136.811 NA 110 501 0 NA 188 846 0 NA 671 13242 1156 NA 1212 6375 1241
1560636000.0 136.825 NA 107 434 0 NA 189 746 0 NA 676 12197 1246 NA 1241 5056 1617
1560636000.0 136.8311 NA 178 0 NA NA 288 0 NA NA 2558 167 NA NA 2299 335 NA
1560636000.0 136.846 NA 116 414 0 NA 181 660 0 NA 651 12830 1227 NA 750 5957 1529
1560636000.0 136.8521 NA 184 0 NA NA 294 0 NA NA 2916 143 NA NA 2819 248 NA
1560636000.0 136.87 NA 227 373 0 NA 378 622 0 NA 2769 5081 1506 NA 2958 6055 1734
1560636000.0 1362.18 67 268 407 0 144 645 657 0 8798 2863 3175 2338 5941 2243 4364 2522
1560636000.0 1363.18 71 302 415 0 144 620 683 0 9203 2596 3125 2412 5714 2075 3730 2951
1560636000.0 140.54 NA 268 0 NA NA 550 0 NA NA 1889 541 NA NA 2196 681 NA
1560636000.0 144.6 NA 306 NA NA NA 557 NA NA NA 2816 NA NA NA 2457 NA NA
1560636000.0 2017.11 409 0 138 NA 937 0 228 NA 1747 517 734 NA 1352 595 763 NA
1560636000.0 2017.6 388 0 132 NA 862 0 220 NA 1995 471 688 NA 1774 549 713 NA
1560636000.0 2017.8 187 NA NA NA 289 NA NA NA 680 NA NA NA 907 NA NA NA
1560636000.0 2018.3 333 0 125 NA 861 0 217 NA 1871 401 629 NA 1738 546 894 NA
1560636000.0 2018.5 369 0 126 NA 876 0 215 NA 1857 482 734 NA 2225 620 871 NA
1560636000.0 2018.8 208 NA NA NA 289 NA NA NA 646 NA NA NA 713 NA NA NA
1560636000.0 250202.17 NA 378 466 0 NA 761 763 0 NA 18209 4392 1392 NA 6414 2816 1473
1560636000.0 250206.17 NA 367 451 0 NA 757 763 0 NA 18799 3889 1553 NA 7551 3433 1743
1560636000.0 250400.17 422 0 133 NA 896 0 223 NA 2119 429 643 NA 1933 536 686 NA
1560636000.0 250402.0 357 0 134 NA 864 0 223 NA 1861 432 689 NA 1798 531 892 NA
1560636000.0 250402.18 430 0 132 NA 908 0 236 NA 2682 476 838 NA 2111 595 903 NA
1560636000.0 250403.18 443 0 132 NA 958 0 224 NA 2226 485 746 NA 1962 713 874 NA
1560636000.0 250405.17 436 0 146 NA 906 0 222 NA 2002 434 658 NA 1820 510 724 NA
1560636000.0 250407.0 298 0 125 NA 819 0 219 NA 1857 342 678 NA 2428 573 975 NA
1560636000.0 250407.17 371 0 138 NA 860 0 221 NA 2055 362 747 NA 1890 464 976 NA
1560636000.0 250409.17 449 0 147 NA 970 0 229 NA 2242 494 803 NA 1753 559 754 NA
1560636000.0 26.0 NA 136 316 0 NA 523 637 0 NA 2152 3118 905 NA 1520 2742 990
1560636000.0 27434.21 NA 281 221 161 NA 530 504 269 NA 2534 1952 932 NA 2155 2159 1192
1560636000.0 5.2 248 0 NA NA 776 0 NA NA 1305 392 NA NA 1706 483 NA NA
1560636000.0 503.0 35 0 NA NA 85 0 NA NA 290 143 NA NA 807 390 NA NA
