Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560718800.0 1.0 70 101 202 NA NA 183 454 461 NA NA 2043 786 2486 NA NA 3075 773 2813 NA NA
1560718800.0 1000.0 NA 325 184 0 54 NA 682 282 0 108 NA 4200 1467 954 366 NA 2603 1467 1015 551
1560718800.0 10002.0 NA 176 381 0 71 NA 479 752 0 129 NA 1159 2220 1310 329 NA 639 2257 1364 424
1560718800.0 10003.0 NA 174 383 0 71 NA 482 750 0 128 NA 1315 2358 1308 317 NA 712 2439 1371 448
1560718800.0 10004.0 NA 176 375 0 71 NA 487 692 0 132 NA 1254 2368 1353 390 NA 721 2432 1461 422
1560718800.0 10005.0 NA 175 386 0 80 NA 491 763 0 129 NA 1385 2149 1310 366 NA 753 2227 1432 466
1560718800.0 10007.0 NA 177 381 0 72 NA 536 762 0 129 NA 1516 2302 1355 318 NA 903 2349 1474 555
1560718800.0 10008.0 NA 176 382 0 71 NA 521 665 0 131 NA 1233 2356 1325 317 NA 663 2182 1441 448
1560718800.0 10009.0 NA 179 383 0 81 NA 494 707 0 130 NA 1402 2226 1435 310 NA 737 2129 1565 436
1560718800.0 1001.2 NA 376 141 0 NA NA 700 232 0 NA NA 16003 2064 144 NA NA 5830 1657 209 NA
1560718800.0 1002.0 NA 307 79 NA NA NA 585 141 NA NA NA 5872 964 NA NA NA 4500 764 NA NA
1560718800.0 10023.0 NA 177 379 0 78 NA 485 701 0 131 NA 1152 2164 1362 307 NA 677 2207 1441 411
1560718800.0 10024.0 NA 186 400 0 74 NA 493 786 0 130 NA 1506 2653 1416 323 NA 733 2385 1490 436
1560718800.0 10024.1 NA 182 201 0 NA NA 556 328 0 NA NA 2448 1803 1366 NA NA 1158 1809 1582 NA
1560718800.0 10024.2 NA 180 378 0 NA NA 497 655 0 NA NA 1703 4979 2722 NA NA 1521 5612 3189 NA
1560718800.0 10024.3 NA 186 183 0 NA NA 484 322 0 NA NA 1592 1849 1281 NA NA 769 2258 1506 NA
1560718800.0 10024.4 NA 183 382 0 NA NA 499 656 0 NA NA 1675 2822 1457 NA NA 1289 3377 1586 NA
1560718800.0 10024.5 NA 184 93 0 NA NA 576 233 0 NA NA 1201 563 171 NA NA 695 2104 263 NA
1560718800.0 10025.0 NA 183 391 0 79 NA 540 719 0 135 NA 1512 2296 1403 381 NA 787 2137 1482 504
1560718800.0 10026.0 NA 188 405 0 74 NA 479 775 0 130 NA 1446 3129 1539 403 NA 746 2574 1691 429
1560718800.0 1003.0 NA 273 0 NA NA NA 556 0 NA NA NA 3554 791 NA NA NA 2379 918 NA NA
1560718800.0 10042.0 NA 182 386 0 73 NA 487 785 0 131 NA 1438 2445 1357 317 NA 689 2220 1464 490
1560718800.0 10059.0 NA 191 412 0 74 NA 505 759 0 126 NA 1623 4114 1450 330 NA 800 2676 1601 425
1560718800.0 10071.0 NA 185 399 0 73 NA 498 712 0 128 NA 1483 2708 1426 385 NA 752 2577 1600 497
1560718800.0 101.0 82 NA NA NA NA 170 NA NA NA NA 919 NA NA NA NA 1538 NA NA NA NA
1560718800.0 102.0 83 NA NA NA NA 170 NA NA NA NA 825 NA NA NA NA 1357 NA NA NA NA
1560718800.0 103.0 42 0 0 NA NA 110 0 0 NA NA 485 361 1808 NA NA 956 670 2079 NA NA
1560718800.0 1040.0 NA 315 NA NA NA NA 592 NA NA NA NA 2258 NA NA NA NA 2145 NA NA NA
1560718800.0 1040.1 NA 63 31 0 NA NA 142 82 0 NA NA 638 214 138 NA NA 1399 526 212 NA
1560718800.0 10424.0 NA 174 378 0 NA NA 535 680 0 NA NA 1354 2720 1619 NA NA 1135 3531 1761 NA
1560718800.0 105.0 74 108 30 NA NA 177 460 76 NA NA 1073 495 148 NA NA 2294 503 251 NA NA
1560718800.0 106.0 43 0 0 NA NA 109 0 0 NA NA 684 653 3311 NA NA 1170 1288 5234 NA NA
1560718800.0 107.0 82 107 280 NA NA 178 413 562 NA NA 3721 1167 3822 NA NA 2878 865 4056 NA NA
1560718800.0 10824.1 NA 303 219 0 NA NA 718 361 0 NA NA 3184 1389 893 NA NA 3316 1616 1049 NA
1560718800.0 10824.5 NA 303 108 0 NA NA 663 259 0 NA NA 4351 1429 325 NA NA 3358 1729 458 NA
1560718800.0 11.0 NA 122 294 0 65 NA 433 669 0 126 NA 2586 2068 1120 364 NA 1054 1797 1206 372
1560718800.0 110.0 61 100 285 NA NA 130 466 561 NA NA 940 1518 3293 NA NA 1283 1491 3458 NA NA
1560718800.0 1102.0 NA 136 330 172 115 NA 507 694 515 174 NA 3657 5617 2236 544 NA 1417 3073 1219 409
1560718800.0 111.0 76 106 284 NA NA 171 416 548 NA NA 2154 1244 3797 NA NA 2431 1415 4455 NA NA
1560718800.0 112.0 88 108 281 NA NA 183 413 548 NA NA 3099 1109 3851 NA NA 2495 759 4288 NA NA
1560718800.0 11224.0 NA 280 415 0 NA NA 667 670 0 NA NA 2684 3332 2672 NA NA 2804 3248 2902 NA
1560718800.0 113.0 82 111 284 NA NA 184 454 566 NA NA 3708 899 3780 NA NA 2903 719 4176 NA NA
1560718800.0 115.0 86 109 283 NA NA 185 456 557 NA NA 4190 1217 3973 NA NA 3503 874 4104 NA NA
1560718800.0 116.0 85 111 295 NA NA 194 481 606 NA NA 5522 853 3611 NA NA 3394 537 3638 NA NA
1560718800.0 11623.0 NA 179 378 0 69 NA 562 755 0 127 NA 1339 2297 1342 373 NA 846 2361 1423 392
1560718800.0 11624.0 NA 189 391 0 73 NA 555 762 0 133 NA 1386 2461 1458 330 NA 698 2264 1574 517
1560718800.0 11625.0 NA 185 389 0 73 NA 529 701 0 128 NA 1472 2459 1334 309 NA 726 2221 1488 415
1560718800.0 11626.0 NA 190 403 0 72 NA 528 790 0 133 NA 1358 2787 1375 337 NA 692 2284 1522 449
1560718800.0 11642.0 NA 183 384 0 72 NA 555 762 0 130 NA 1270 2328 1338 336 NA 666 2142 1417 515
1560718800.0 120.0 59 103 272 NA NA 134 410 554 NA NA 905 1233 3725 NA NA 1267 761 4078 NA NA
1560718800.0 122.0 40 0 0 NA NA 109 0 0 NA NA 765 513 2630 NA NA 1611 840 2685 NA NA
1560718800.0 123.1 292 NA NA NA NA 814 NA NA NA NA 1822 NA NA NA NA 2106 NA NA NA NA
1560718800.0 123.2 306 NA NA NA NA 808 NA NA NA NA 1953 NA NA NA NA 1937 NA NA NA NA
1560718800.0 123.3 238 NA NA NA NA 721 NA NA NA NA 1590 NA NA NA NA 1685 NA NA NA NA
1560718800.0 124.1 276 NA NA NA NA 824 NA NA NA NA 1623 NA NA NA NA 1686 NA NA NA NA
1560718800.0 124.2 295 NA NA NA NA 834 NA NA NA NA 1709 NA NA NA NA 1748 NA NA NA NA
1560718800.0 124.4 301 NA NA NA NA 796 NA NA NA NA 1542 NA NA NA NA 1769 NA NA NA NA
1560718800.0 124.5 294 NA NA NA NA 781 NA NA NA NA 1490 NA NA NA NA 1598 NA NA NA NA
1560718800.0 124.6 241 NA NA NA NA 784 NA NA NA NA 1532 NA NA NA NA 1683 NA NA NA NA
1560718800.0 125.0 80 108 283 NA NA 177 414 600 NA NA 3171 1130 3215 NA NA 2376 713 3081 NA NA
1560718800.0 127.0 60 103 274 NA NA 130 407 541 NA NA 967 665 2201 NA NA 1406 564 2478 NA NA
1560718800.0 128.0 57 109 276 NA NA 129 403 548 NA NA 932 1236 3178 NA NA 1387 773 3262 NA NA
1560718800.0 129.0 59 104 276 NA NA 136 401 545 NA NA 889 867 3364 NA NA 1337 1110 3595 NA NA
1560718800.0 130.0 62 107 272 NA NA 130 450 552 NA NA 989 642 3805 NA NA 2293 451 4075 NA NA
1560718800.0 1301.0 70 135 192 NA NA 151 440 513 NA NA 2055 884 2442 NA NA 3050 746 2983 NA NA
1560718800.0 1301.17 62 165 241 NA NA 134 521 520 NA NA 2246 2566 2659 NA NA 2160 1482 2999 NA NA
1560718800.0 1302.0 81 135 237 NA NA 173 426 519 NA NA 5996 1539 2918 NA NA 3735 1103 3268 NA NA
1560718800.0 1302.17 67 172 252 NA NA 145 471 525 NA NA 5842 2479 3143 NA NA 4160 1153 3307 NA NA
1560718800.0 1302.18 69 245 230 NA NA 143 571 509 NA NA 6071 4123 2318 NA NA 4048 2708 2361 NA NA
1560718800.0 1303.0 74 152 221 NA NA 149 467 480 NA NA 5744 603 2100 NA NA 3109 628 1760 NA NA
1560718800.0 1303.17 74 171 261 NA NA 145 481 536 NA NA 5837 1467 2349 NA NA 2878 1153 1928 NA NA
1560718800.0 1309.0 NA 145 335 0 NA NA 517 646 0 NA NA 774 2529 1108 NA NA 1178 2587 1307 NA
1560718800.0 1312.0 NA 144 354 0 NA NA 476 600 0 NA NA 823 2551 1159 NA NA 1700 3287 1322 NA
1560718800.0 1314.0 NA 138 357 0 NA NA 513 659 0 NA NA 718 2530 1138 NA NA 1257 2673 2723 NA
1560718800.0 1315.0 NA 137 339 0 NA NA 507 573 0 NA NA 722 2370 1037 NA NA 1016 3006 1402 NA
1560718800.0 1319.0 NA 137 340 0 NA NA 473 582 0 NA NA 1511 3915 1650 NA NA 1694 4617 2190 NA
1560718800.0 1321.0 NA 141 340 0 NA NA 557 646 0 NA NA 1561 3681 1729 NA NA 1665 3671 2461 NA
1560718800.0 1323.0 NA 135 326 0 NA NA 449 590 0 NA NA 1490 3495 1753 NA NA 1758 3575 2462 NA
1560718800.0 1325.0 NA 148 361 0 69 NA 457 709 0 127 NA 763 2288 1007 320 NA 540 2134 1064 508
1560718800.0 1325.1 NA 147 165 0 NA NA 516 275 0 NA NA 770 853 702 NA NA 614 2058 930 NA
1560718800.0 1325.4 NA 142 341 0 NA NA 470 613 0 NA NA 1390 4369 1917 NA NA 1459 4469 2686 NA
1560718800.0 1325.5 NA 165 0 NA NA NA 278 0 NA NA NA 4827 176 NA NA NA 5884 397 NA NA
1560718800.0 1325.51 NA 157 0 NA NA NA 276 0 NA NA NA 2033 176 NA NA NA 3086 329 NA NA
