Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1560636000.0 101.0 80 NA NA NA 175 NA NA NA 972 NA NA NA 2221 NA NA NA
1560636000.0 102.0 81 NA NA NA 175 NA NA NA 878 NA NA NA 2133 NA NA NA
1560636000.0 11824.0 NA 0 NA NA NA 0 NA NA NA 0 NA NA NA 0 NA NA
1560636000.0 122.0 42 0 0 NA 103 0 0 NA 492 255 1623 NA 1068 835 2459 NA
1560636000.0 135.8 138 NA NA NA 254 NA NA NA 493 NA NA NA 2076 NA NA NA
1560636000.0 136.7801 NA 103 0 NA NA 185 0 NA NA 500 289 NA NA 3340 723 NA
1560636000.0 136.7802 NA 75 0 NA NA 140 0 NA NA 374 203 NA NA 1469 683 NA
1560636000.0 136.7803 NA 110 0 NA NA 193 0 NA NA 721 256 NA NA 1917 754 NA
1560636000.0 136.87 NA 226 372 0 NA 410 639 0 NA 2294 4510 1306 NA 2429 4397 1866
1560636000.0 2017.8 184 NA NA NA 325 NA NA NA 546 NA NA NA 1308 NA NA NA
1560636000.0 2018.8 182 NA NA NA 290 NA NA NA 587 NA NA NA 1644 NA NA NA
1560636000.0 503.0 33 0 NA NA 84 0 NA NA 249 168 NA NA 1009 784 NA NA
1560636000.0 504.0 35 0 NA NA 84 0 NA NA 208 163 NA NA 587 507 NA NA
1560636000.0 505.0 34 0 NA NA 85 0 NA NA 204 160 NA NA 651 353 NA NA
1560636000.0 506.0 31 0 NA NA 84 0 NA NA 208 155 NA NA 719 339 NA NA
1560636000.0 507.0 32 0 NA NA 83 0 NA NA 247 172 NA NA 1123 785 NA NA
1560636000.0 508.0 34 0 NA NA 84 0 NA NA 204 162 NA NA 789 387 NA NA
1560636000.0 509.0 32 0 NA NA 83 0 NA NA 202 169 NA NA 714 665 NA NA
1560636000.0 510.0 34 0 NA NA 84 0 NA NA 319 171 NA NA 1317 744 NA NA
1560636000.0 511.0 35 0 NA NA 105 0 NA NA 9671 158 NA NA 13201 376 NA NA
1560636000.0 513.0 14 37 0 NA 61 91 0 NA 683 209 154 NA 2366 418 555 NA
1560636000.0 516.0 14 38 0 NA 61 91 0 NA 830 235 163 NA 3627 638 643 NA
1560636000.0 519.0 14 38 0 NA 61 91 0 NA 831 228 162 NA 3627 641 647 NA
1560636000.0 521.0 14 38 0 NA 61 91 0 NA 665 206 147 NA 2215 423 455 NA
1560636000.0 523.0 14 42 0 NA 61 98 0 NA 1114 245 148 NA 4697 647 518 NA
1560636000.0 525.0 14 39 0 NA 61 91 0 NA 676 216 144 NA 2363 773 366 NA
1560636000.0 528.0 14 35 0 NA 61 92 0 NA 684 252 145 NA 1996 937 363 NA
1560636000.0 531.0 45 0 NA NA 195 0 NA NA 189 167 NA NA 778 574 NA NA
1560636000.0 534.0 38 0 NA NA 99 0 NA NA 267 162 NA NA 1425 360 NA NA
1560636000.0 535.0 35 0 NA NA 93 0 NA NA 778 168 NA NA 3538 512 NA NA
1560636000.0 536.0 41 0 NA NA 102 0 NA NA 467 179 NA NA 1594 929 NA NA
1560636000.0 541.0 44 0 NA NA 93 0 NA NA 225 160 NA NA 793 363 NA NA
1560636000.0 545.0 42 0 NA NA 95 0 NA NA 280 158 NA NA 659 339 NA NA
1560636000.0 554.0 14 38 0 NA 61 92 0 NA 1587 220 155 NA 2149 430 550 NA
1560636000.0 560.0 34 0 NA NA 81 0 NA NA 223 158 NA NA 662 404 NA NA
1560636000.0 561.0 34 0 NA NA 84 0 NA NA 209 168 NA NA 871 628 NA NA
1560636000.0 562.0 14 39 0 NA 61 89 0 NA 354 198 140 NA 2264 453 444 NA
