Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1560718800.0 1000.0 NA 316 179 0 50 NA NA NA NA NA 632 284 0 103 NA NA NA NA NA 4653 2006 1169 471 NA NA NA NA NA 5900 3403 1532 646 NA NA NA NA
1560718800.0 1001.0 NA 264 112 0 0 0 0 0 0 NA 628 182 0 0 0 0 0 0 NA 4518 1116 122 95 216 498 315 341 NA 5805 1282 154 145 262 776 860 424
1560718800.0 101.0 93 NA NA NA NA NA NA NA NA 162 NA NA NA NA NA NA NA NA 885 NA NA NA NA NA NA NA NA 1358 NA NA NA NA NA NA NA NA
1560718800.0 102.0 83 NA NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA NA 863 NA NA NA NA NA NA NA NA 2758 NA NA NA NA NA NA NA NA
1560718800.0 1020.0 NA 68 24 0 67 NA NA NA NA NA 136 69 0 141 NA NA NA NA NA 279 156 95 290 NA NA NA NA NA 1060 1045 280 626 NA NA NA NA
1560718800.0 103.0 43 0 0 NA NA NA NA NA NA 98 0 0 NA NA NA NA NA NA 419 340 1524 NA NA NA NA NA NA 959 575 2323 NA NA NA NA NA NA
1560718800.0 1040.0 NA 354 30 0 NA NA NA NA NA NA 734 74 0 NA NA NA NA NA NA 19601 208 154 NA NA NA NA NA NA 7937 491 359 NA NA NA NA NA
1560718800.0 108.0 97 120 299 NA NA NA NA NA NA 201 585 609 NA NA NA NA NA NA 2529 466 1918 NA NA NA NA NA NA 1730 367 2318 NA NA NA NA NA NA
1560718800.0 10842.7 NA 276 401 0 90 155 NA NA NA NA 681 758 0 152 266 NA NA NA NA 2324 2651 2040 535 903 NA NA NA NA 5406 7922 2776 987 1818 NA NA NA
1560718800.0 120.0 64 119 286 NA NA NA NA NA NA 127 584 590 NA NA NA NA NA NA 521 436 1548 NA NA NA NA NA NA 900 384 2400 NA NA NA NA NA NA
1560718800.0 122.0 42 0 0 NA NA NA NA NA NA 98 0 0 NA NA NA NA NA NA 423 187 1514 NA NA NA NA NA NA 787 265 2353 NA NA NA NA NA NA
1560718800.0 1307.0 NA 133 177 42 0 NA NA NA NA NA 599 264 92 0 NA NA NA NA NA 667 1020 183 310 NA NA NA NA NA 2602 1753 478 777 NA NA NA NA
1560718800.0 1325.5 NA 165 0 NA NA NA NA NA NA NA 289 0 NA NA NA NA NA NA NA 6401 296 NA NA NA NA NA NA NA 9886 967 NA NA NA NA NA NA
1560718800.0 1325.51 NA 155 0 NA NA NA NA NA NA NA 268 0 NA NA NA NA NA NA NA 1954 185 NA NA NA NA NA NA NA 2886 861 NA NA NA NA NA NA
1560718800.0 1325.6 NA 192 NA NA NA NA NA NA NA NA 341 NA NA NA NA NA NA NA NA 3869 NA NA NA NA NA NA NA NA 4275 NA NA NA NA NA NA NA
1560718800.0 1329.1 NA 174 0 NA NA NA NA NA NA NA 292 0 NA NA NA NA NA NA NA 8062 276 NA NA NA NA NA NA NA 11538 844 NA NA NA NA NA NA
1560718800.0 134.813 NA 156 59 0 NA NA NA NA NA NA 269 113 0 NA NA NA NA NA NA 1118 271 351 NA NA NA NA NA NA 3055 632 974 NA NA NA NA NA
1560718800.0 135.8 139 NA NA NA NA NA NA NA NA 253 NA NA NA NA NA NA NA NA 483 NA NA NA NA NA NA NA NA 937 NA NA NA NA NA NA NA NA
1560718800.0 136.733 NA 171 64 0 NA NA NA NA NA NA 288 125 0 NA NA NA NA NA NA 1139 668 338 NA NA NA NA NA NA 1115 856 939 NA NA NA NA NA
1560718800.0 136.737 NA 89 428 0 NA NA NA NA NA NA 162 739 0 NA NA NA NA NA NA 510 12130 778 NA NA NA NA NA NA 564 5557 1009 NA NA NA NA NA
1560718800.0 136.738 NA 88 369 0 NA NA NA NA NA NA 157 682 0 NA NA NA NA NA NA 620 11750 709 NA NA NA NA NA NA 815 5237 772 NA NA NA NA NA
1560718800.0 136.741 NA 85 372 0 NA NA NA NA NA NA 168 701 0 NA NA NA NA NA NA 739 12147 717 NA NA NA NA NA NA 1240 5064 945 NA NA NA NA NA
1560718800.0 136.749 NA 87 366 0 NA NA NA NA NA NA 160 699 0 NA NA NA NA NA NA 686 12197 729 NA NA NA NA NA NA 884 4914 1027 NA NA NA NA NA
1560718800.0 136.757 NA 91 364 0 NA NA NA NA NA NA 158 674 0 NA NA NA NA NA NA 675 10983 758 NA NA NA NA NA NA 724 4604 895 NA NA NA NA NA
1560718800.0 136.7611 NA 178 0 NA NA NA NA NA NA NA 301 0 NA NA NA NA NA NA NA 7731 328 NA NA NA NA NA NA NA 10593 960 NA NA NA NA NA NA
1560718800.0 136.763 NA 95 387 0 NA NA NA NA NA NA 169 829 0 NA NA NA NA NA NA 596 15957 767 NA NA NA NA NA NA 632 6187 949 NA NA NA NA NA
1560718800.0 136.767 NA 90 348 0 NA NA NA NA NA NA 158 720 0 NA NA NA NA NA NA 776 21129 1227 NA NA NA NA NA NA 1359 15342 1330 NA NA NA NA NA
1560718800.0 136.7721 NA 172 0 NA NA NA NA NA NA NA 284 0 NA NA NA NA NA NA NA 7386 288 NA NA NA NA NA NA NA 11155 939 NA NA NA NA NA NA
1560718800.0 136.7722 NA 167 0 NA NA NA NA NA NA NA 264 0 NA NA NA NA NA NA NA 8037 280 NA NA NA NA NA NA NA 11006 855 NA NA NA NA NA NA
