Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1560718800.0 10001.0 NA 164 354 0 75 NA NA 543 732 0 123 NA NA 1296 1869 889 232 NA NA 1026 4087 1035 387 NA
1560718800.0 10003.0 NA 164 359 0 74 NA NA 502 711 0 132 NA NA 1337 1864 897 330 NA NA 893 1997 957 421 NA
1560718800.0 10005.0 NA 163 361 0 75 NA NA 489 709 0 132 NA NA 1310 1888 888 427 NA NA 1290 2451 1066 1057 NA
1560718800.0 10006.0 NA 164 348 0 65 NA NA 472 637 0 123 NA NA 1286 1849 902 235 NA NA 862 3566 1200 436 NA
1560718800.0 10007.0 NA 166 358 0 65 NA NA 528 669 0 131 NA NA 1347 1880 913 336 NA NA 903 1940 1020 403 NA
1560718800.0 10008.0 NA 165 366 0 66 NA NA 439 673 0 131 NA NA 1331 1894 887 304 NA NA 1570 2086 939 384 NA
1560718800.0 10009.0 NA 165 368 0 66 NA NA 452 626 0 123 NA NA 1347 1921 887 322 NA NA 1066 2235 950 408 NA
1560718800.0 1001.2 NA 372 124 0 NA NA NA 671 206 0 NA NA NA 13816 1686 107 NA NA NA 6413 1364 260 NA NA
1560718800.0 1002.0 NA 304 76 NA NA NA NA 600 144 NA NA NA NA 3472 424 NA NA NA NA 3250 523 NA NA NA
1560718800.0 10024.0 NA 175 376 0 67 NA NA 525 756 0 133 NA NA 1406 2118 943 243 NA NA 736 2014 1055 380 NA
1560718800.0 10024.1 NA 174 190 0 NA NA NA 486 334 0 NA NA NA 1619 1006 367 NA NA NA 988 1196 492 NA NA
1560718800.0 10024.3 NA 175 178 0 NA NA NA 545 308 0 NA NA NA 1893 1039 469 NA NA NA 1621 1849 1341 NA NA
1560718800.0 10024.5 NA 175 92 0 NA NA NA 529 224 0 NA NA NA 1886 603 159 NA NA NA 1417 1637 374 NA NA
1560718800.0 10026.0 NA 175 380 0 76 NA NA 541 692 0 125 NA NA 1392 2361 927 242 NA NA 1035 2742 1127 318 NA
1560718800.0 1003.0 NA 263 0 NA NA NA NA 640 0 NA NA NA NA 3400 686 NA NA NA NA 2620 1221 NA NA NA
1560718800.0 10059.0 NA 180 383 0 75 NA NA 561 716 0 134 NA NA 1430 3126 926 246 NA NA 1045 4465 1092 406 NA
1560718800.0 10071.0 NA 175 376 0 74 NA NA 542 699 0 129 NA NA 1358 2201 927 328 NA NA 1797 3733 1324 506 NA
1560718800.0 101.0 80 NA NA NA NA NA 174 NA NA NA NA NA 984 NA NA NA NA NA 1956 NA NA NA NA NA
1560718800.0 1010.0 NA 23 36 0 NA NA NA 84 97 0 NA NA NA 208 280 162 NA NA NA 1018 1070 431 NA NA
1560718800.0 102.0 82 NA NA NA NA NA 176 NA NA NA NA NA 900 NA NA NA NA NA 2204 NA NA NA NA NA
1560718800.0 1040.0 NA 300 NA NA NA NA NA 634 NA NA NA NA NA 2129 NA NA NA NA NA 2272 NA NA NA NA
1560718800.0 1040.1 NA 60 23 0 NA NA NA 141 73 0 NA NA NA 509 220 138 NA NA NA 1651 939 400 NA NA
1560718800.0 10424.0 NA 169 367 0 NA NA NA 480 662 0 NA NA NA 1460 2661 1152 NA NA NA 1269 4530 1272 NA NA
1560718800.0 105.0 79 100 24 NA NA NA 201 462 73 NA NA NA 1168 507 166 NA NA NA 4127 841 618 NA NA NA
1560718800.0 10824.1 NA 278 214 0 NA NA NA 665 370 0 NA NA NA 2932 1230 371 NA NA NA 2439 2293 449 NA NA
1560718800.0 10824.5 NA 278 111 0 NA NA NA 657 255 0 NA NA NA 2820 746 169 NA NA NA 2275 1455 495 NA NA
1560718800.0 10824.7 NA 281 406 0 85 143 NA 710 780 0 158 282 NA 3084 3112 2101 1013 971 NA 3490 4749 3215 1923 1384
1560718800.0 10842.7 NA 264 393 0 85 140 NA 629 687 0 154 274 NA 3046 3039 2083 998 954 NA 3467 5502 2755 1909 1378
1560718800.0 109.0 77 108 281 NA NA NA 204 394 609 NA NA NA 2727 491 1788 NA NA NA 2040 430 2011 NA NA NA
1560718800.0 110.0 58 101 277 NA NA NA 136 458 594 NA NA NA 645 542 2012 NA NA NA 1809 707 3200 NA NA NA
1560718800.0 111.0 71 104 273 NA NA NA 204 428 580 NA NA NA 1137 373 1570 NA NA NA 1541 356 1911 NA NA NA
1560718800.0 11224.0 NA 278 410 0 NA NA NA 660 719 0 NA NA NA 2793 3128 2110 NA NA NA 4677 7404 3015 NA NA
1560718800.0 11224.6 NA 279 408 0 NA NA NA 647 722 0 NA NA NA 2864 3172 2115 NA NA NA 5127 4620 2528 NA NA
1560718800.0 113.0 82 106 285 NA NA NA 214 423 606 NA NA NA 2305 605 2161 NA NA NA 1896 555 3992 NA NA NA
1560718800.0 117.0 83 106 275 NA NA NA 214 484 644 NA NA NA 2850 498 1734 NA NA NA 2175 464 1873 NA NA NA
1560718800.0 118.0 81 115 294 NA NA NA 214 445 598 NA NA NA 3181 632 2270 NA NA NA 2160 524 2382 NA NA NA
1560718800.0 12.0 NA 127 298 0 NA NA NA 439 691 0 NA NA NA 1980 3328 544 NA NA NA 982 2292 619 NA NA
1560718800.0 121.0 79 113 287 NA NA NA 214 430 593 NA NA NA 2886 604 2185 NA NA NA 3191 516 2179 NA NA NA
1560718800.0 122.0 41 0 0 NA NA NA 102 0 0 NA NA NA 419 212 1337 NA NA NA 1039 417 1625 NA NA NA
1560718800.0 123.2 291 NA NA NA NA NA 839 NA NA NA NA NA 1792 NA NA NA NA NA 3103 NA NA NA NA NA
1560718800.0 123.3 233 NA NA NA NA NA 762 NA NA NA NA NA 1451 NA NA NA NA NA 1862 NA NA NA NA NA
1560718800.0 124.2 280 NA NA NA NA NA 831 NA NA NA NA NA 1463 NA NA NA NA NA 1810 NA NA NA NA NA
1560718800.0 124.5 275 NA NA NA NA NA 878 NA NA NA NA NA 1423 NA NA NA NA NA 1719 NA NA NA NA NA
1560718800.0 124.6 242 NA NA NA NA NA 773 NA NA NA NA NA 1395 NA NA NA NA NA 2215 NA NA NA NA NA
1560718800.0 125.0 79 110 277 NA NA NA 208 440 596 NA NA NA 1838 594 2057 NA NA NA 2002 1091 2364 NA NA NA
1560718800.0 1303.17 71 172 231 NA NA NA 155 509 562 NA NA NA 5472 1326 1824 NA NA NA 2771 605 1965 NA NA NA
1560718800.0 1304.18 63 239 185 138 NA NA 142 596 535 235 NA NA 2227 2092 1110 668 NA NA 1477 1386 1285 746 NA NA
1560718800.0 1304.181 66 238 185 131 NA NA 144 618 491 236 NA NA 2304 2075 1125 668 NA NA 1637 1590 1472 746 NA NA
1560718800.0 1306.0 NA 139 326 0 NA NA NA 514 682 0 NA NA NA 460 1601 554 NA NA NA 437 2069 684 NA NA
1560718800.0 1308.0 NA 128 163 36 0 NA NA 448 288 93 0 NA NA 528 706 163 369 NA NA 743 987 505 763 NA
1560718800.0 1319.0 NA 131 328 0 NA NA NA 455 646 0 NA NA NA 451 1623 532 NA NA NA 767 1804 666 NA NA
1560718800.0 132.0 80 114 280 NA NA NA 211 454 552 NA NA NA 2853 657 2232 NA NA NA 2181 1521 3973 NA NA NA
1560718800.0 1321.0 NA 133 331 0 NA NA NA 464 635 0 NA NA NA 479 1682 556 NA NA NA 461 2392 658 NA NA
1560718800.0 1323.0 NA 136 322 0 NA NA NA 508 671 0 NA NA NA 438 1588 548 NA NA NA 423 1800 654 NA NA
1560718800.0 1325.1 NA 139 157 0 NA NA NA 502 246 0 NA NA NA 651 772 367 NA NA NA 1443 1759 913 NA NA
1560718800.0 1325.3 NA 141 152 0 NA NA NA 542 253 0 NA NA NA 594 781 359 NA NA NA 706 1833 913 NA NA
1560718800.0 1325.5 NA 158 0 NA NA NA NA 276 0 NA NA NA NA 4259 136 NA NA NA NA 5520 503 NA NA NA
