Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1560718800.0 1.0 65 87 191 NA NA NA NA 946 948 1071 NA NA NA NA 3231 1318 3267 NA NA NA NA 3545 1868 3570 NA NA NA NA
1560718800.0 10007.0 NA 119 329 0 78 NA NA NA 1022 1227 0 939 NA NA NA 1605 6964 3539 615 NA NA NA 1858 7535 3689 836 NA NA
1560718800.0 10024.1 NA 120 190 0 NA NA NA NA 1025 1055 0 NA NA NA NA 1833 2496 1229 NA NA NA NA 2171 2716 1391 NA NA NA
1560718800.0 10024.3 NA 120 178 0 NA NA NA NA 1025 1044 0 NA NA NA NA 1982 2585 1105 NA NA NA NA 2225 2861 1246 NA NA NA
1560718800.0 10024.5 NA 123 90 0 NA NA NA NA 1025 951 0 NA NA NA NA 1893 1651 462 NA NA NA NA 2098 1910 593 NA NA NA
1560718800.0 1004.0 NA 194 97 0 0 0 0 NA 1100 958 0 0 0 0 NA 2589 784 202 338 757 745 NA 2821 1199 292 407 858 865
1560718800.0 101.0 92 NA NA NA NA NA NA 977 NA NA NA NA NA NA 3032 NA NA NA NA NA NA 3607 NA NA NA NA NA NA
1560718800.0 1010.0 NA 29 43 0 NA NA NA NA 929 903 0 NA NA NA NA 389 449 348 NA NA NA NA 626 773 611 NA NA NA
1560718800.0 102.0 94 NA NA NA NA NA NA 978 NA NA NA NA NA NA 2681 NA NA NA NA NA NA 2962 NA NA NA NA NA NA
1560718800.0 1020.0 NA 43 28 0 44 NA NA NA 941 888 0 943 NA NA NA 828 344 204 863 NA NA NA 1022 663 432 1315 NA NA
1560718800.0 103.0 50 0 0 NA NA NA NA 921 0 0 NA NA NA NA 1292 390 4628 NA NA NA NA 1386 422 5187 NA NA NA NA
1560718800.0 1040.1 NA 71 33 0 NA NA NA NA 973 889 0 NA NA NA NA 1034 432 440 NA NA NA NA 1405 684 766 NA NA NA
1560718800.0 105.0 63 90 36 NA NA NA NA 946 952 891 NA NA NA NA 3851 1301 372 NA NA NA NA 4460 1720 494 NA NA NA NA
1560718800.0 1301.0 63 99 198 NA NA NA NA 939 959 1081 NA NA NA NA 3034 1388 3702 NA NA NA NA 3381 2098 4023 NA NA NA NA
1560718800.0 1307.0 NA 99 155 63 0 NA NA NA 997 1018 908 0 NA NA NA 1449 1803 380 954 NA NA NA 2509 2098 435 1070 NA NA
1560718800.0 1308.0 NA 93 154 58 0 NA NA NA 996 1015 908 0 NA NA NA 1462 1441 363 945 NA NA NA 1727 1700 418 1025 NA NA
1560718800.0 131.0 58 94 269 NA NA NA NA 930 951 1158 NA NA NA NA 3059 1231 4408 NA NA NA NA 3320 1325 4880 NA NA NA NA
1560718800.0 1325.1 NA 101 157 0 NA NA NA NA 1006 1022 0 NA NA NA NA 1810 2337 1037 NA NA NA NA 2390 2534 1106 NA NA NA
1560718800.0 1325.3 NA 103 153 0 NA NA NA NA 1006 1017 0 NA NA NA NA 1776 2007 1028 NA NA NA NA 2383 2340 1112 NA NA NA
1560718800.0 1325.5 NA 159 0 NA NA NA NA NA 1076 0 NA NA NA NA NA 9019 462 NA NA NA NA NA 10053 536 NA NA NA NA
1560718800.0 1325.51 NA 150 0 NA NA NA NA NA 1070 0 NA NA NA NA NA 5234 446 NA NA NA NA NA 5546 517 NA NA NA NA
1560718800.0 1325.6 NA 205 NA NA NA NA NA NA 1145 NA NA NA NA NA NA 14288 NA NA NA NA NA NA 15367 NA NA NA NA NA
1560718800.0 1325.7 NA 201 0 NA NA NA NA NA 1141 0 NA NA NA NA NA 14349 413 NA NA NA NA NA 15552 571 NA NA NA NA
1560718800.0 1325.8 NA 201 0 NA NA NA NA NA 1140 0 NA NA NA NA NA 14433 434 NA NA NA NA NA 15435 496 NA NA NA NA
1560718800.0 1329.1 NA 195 0 NA NA NA NA NA 1127 0 NA NA NA NA NA 11650 434 NA NA NA NA NA 12726 499 NA NA NA NA
1560718800.0 134.813 NA 147 74 0 NA NA NA NA 1050 929 0 NA NA NA NA 4005 692 928 NA NA NA NA 4263 763 1062 NA NA NA
1560718800.0 135.8 97 NA NA NA NA NA NA 963 NA NA NA NA NA NA 1313 NA NA NA NA NA NA 1938 NA NA NA NA NA NA
1560718800.0 136.733 NA 158 80 0 NA NA NA NA 1064 936 0 NA NA NA NA 3838 781 939 NA NA NA NA 4288 899 1046 NA NA NA
1560718800.0 136.7721 NA 158 0 NA NA NA NA NA 1081 0 NA NA NA NA NA 9981 500 NA NA NA NA NA 10811 829 NA NA NA NA
1560718800.0 136.7722 NA 139 0 NA NA NA NA NA 1052 0 NA NA NA NA NA 9550 341 NA NA NA NA NA 10126 501 NA NA NA NA
1560718800.0 136.7801 NA 95 NA NA NA NA NA NA 997 NA NA NA NA NA NA 1207 NA NA NA NA NA NA 1560 NA NA NA NA NA
1560718800.0 136.7802 NA 78 0 NA NA NA NA NA 978 0 NA NA NA NA NA 1000 628 NA NA NA NA NA 1436 945 NA NA NA NA
1560718800.0 136.7803 NA 92 NA NA NA NA NA NA 996 NA NA NA NA NA NA 1366 NA NA NA NA NA NA 1944 NA NA NA NA NA
1560718800.0 136.7952 NA 151 0 NA NA NA NA NA 1075 0 NA NA NA NA NA 9195 485 NA NA NA NA NA 9606 674 NA NA NA NA
1560718800.0 136.8311 NA 157 0 NA NA NA NA NA 1082 0 NA NA NA NA NA 8229 450 NA NA NA NA NA 8797 553 NA NA NA NA
1560718800.0 136.8521 NA 154 0 NA NA NA NA NA 1076 0 NA NA NA NA NA 7651 413 NA NA NA NA NA 8445 478 NA NA NA NA
1560718800.0 2017.8 109 NA NA NA NA NA NA 977 NA NA NA NA NA NA 1164 NA NA NA NA NA NA 1485 NA NA NA NA NA NA
1560718800.0 2018.8 110 NA NA NA NA NA NA 976 NA NA NA NA NA NA 1384 NA NA NA NA NA NA 2051 NA NA NA NA NA NA
1560718800.0 250199.0 150 NA NA NA NA NA NA 1064 NA NA NA NA NA NA 10152 NA NA NA NA NA NA 10540 NA NA NA NA NA NA
1560718800.0 250199.17 174 NA NA NA NA NA NA 1086 NA NA NA NA NA NA 10656 NA NA NA NA NA NA 10963 NA NA NA NA NA NA
