Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1560805200.0 1010.0 NA 31 43 0 NA NA 929 903 0 NA NA 261 386 332 NA NA 390 464 563 NA
1560805200.0 1020.0 NA 44 34 0 44 NA 941 888 0 943 NA 733 217 122 742 NA 1028 307 146 867
1560805200.0 1040.1 NA 71 38 0 NA NA 973 889 0 NA NA 882 427 366 NA NA 1130 658 470 NA
1560805200.0 135.8 97 NA NA NA NA 963 NA NA NA NA 1270 NA NA NA NA 1837 NA NA NA NA
1560805200.0 136.7721 NA 163 0 NA NA NA 1081 0 NA NA NA 7790 468 NA NA NA 8219 715 NA NA
1560805200.0 136.7801 NA 96 NA NA NA NA 998 NA NA NA NA 1034 NA NA NA NA 1418 NA NA NA
1560805200.0 136.7802 NA 86 0 NA NA NA 978 0 NA NA NA 625 519 NA NA NA 751 1008 NA NA
1560805200.0 136.7952 NA 151 0 NA NA NA 1075 0 NA NA NA 8502 332 NA NA NA 9062 411 NA NA
1560805200.0 2018.8 109 NA NA NA NA 976 NA NA NA NA 1286 NA NA NA NA 1572 NA NA NA NA
1560805200.0 250199.0 151 NA NA NA NA 1062 NA NA NA NA 7863 NA NA NA NA 8114 NA NA NA NA
1560805200.0 503.0 41 0 NA NA NA 899 0 NA NA NA 523 469 NA NA NA 592 641 NA NA NA
1560805200.0 504.0 41 0 NA NA NA 899 0 NA NA NA 455 415 NA NA NA 536 471 NA NA NA
1560805200.0 505.0 44 0 NA NA NA 899 0 NA NA NA 471 436 NA NA NA 528 561 NA NA NA
1560805200.0 506.0 42 0 NA NA NA 899 0 NA NA NA 502 359 NA NA NA 592 407 NA NA NA
1560805200.0 507.0 41 0 NA NA NA 898 0 NA NA NA 499 424 NA NA NA 573 549 NA NA NA
1560805200.0 508.0 41 0 NA NA NA 898 0 NA NA NA 447 459 NA NA NA 492 604 NA NA NA
1560805200.0 509.0 51 0 NA NA NA 898 0 NA NA NA 382 472 NA NA NA 469 676 NA NA NA
1560805200.0 510.0 41 0 NA NA NA 899 0 NA NA NA 563 456 NA NA NA 596 589 NA NA NA
1560805200.0 531.0 52 0 NA NA NA 1008 0 NA NA NA 419 413 NA NA NA 461 497 NA NA NA
1560805200.0 541.0 50 0 NA NA NA 909 0 NA NA NA 561 428 NA NA NA 628 585 NA NA NA
1560805200.0 545.0 55 0 NA NA NA 909 0 NA NA NA 654 458 NA NA NA 722 634 NA NA NA
1560805200.0 560.0 41 0 NA NA NA 899 0 NA NA NA 563 455 NA NA NA 641 628 NA NA NA
1560805200.0 561.0 48 0 NA NA NA 899 0 NA NA NA 492 446 NA NA NA 551 561 NA NA NA
